Normalized_GP,Variants,Number_of_Variants,Total_Ship_To_Count,Total_Row_Count,Countries,Any_Normalization_Changed
WILSON COMBAT,"['WILSON COMBAT', 'Wilson Combat']",2,5,9,['United States Of America'],False
WORTHINGTON ENTERPRISES,"['Worthington Enterprises Inc', 'WORTHINGTON ENTERPRISES INC']",2,5,8,['United States Of America'],True
CBS INDUSTRIAL TOOLING,"['CBS INDUSTRIAL TOOLING', 'CBS INDUSTRIAL TOOLING INC', 'CBS INDUSTRIAL TOOLING LLC']",3,4,7,['United States Of America'],True
HANGER BOLT AND STUD,"['HANGER BOLT AND STUD CO', 'HANGER BOLT AND STUD CO INC', 'Hanger Bolt and Stud Co']",3,4,5,['United States Of America'],True
IMPERIAL MACHINE,"['IMPERIAL MACHINE', 'IMPERIAL MACHINE COMPANY', 'Imperial Machine Company']",3,4,8,['United States Of America'],True
OHIO ORDNANCE WORKS,"['OHIO ORDNANCE WORKS INC', 'OHIO ORDNANCE WORKS', 'Ohio Ordnance Works']",3,4,9,['United States Of America'],True
PLUM,"['Plum Corporation', 'PLUM', 'PLUM CORPORATION']",3,4,6,['United States Of America'],True
S AND S TOOLS,"['S and S Tools Inc', 'S AND S TOOLS INC', 'S and S TOOLS INC']",3,4,6,['United States Of America'],True
ACS GROUP,"['ACS GROUP', 'ACS Group']",2,4,6,['Spain'],False
ALLOY ENGINEERING,"['ALLOY ENGINEERING', 'Alloy Engineering']",2,4,6,['United States Of America'],False
ANDERSON PRECISION,"['ANDERSON PRECISION', 'Anderson Precision']",2,4,7,['United States Of America'],False
BADGER METER,"['BADGER METER', 'BADGER METER INC']",2,4,7,['United States Of America'],True
BIESSE,"['BIESSE', 'Biesse']",2,4,13,['Italy'],False
CEDARVILLE UNIVERSITY,"['CEDARVILLE UNIVERSITY', 'Cedarville University']",2,4,4,['United States Of America'],False
COMMERCIAL FLUID POWER,"['COMMERCIAL FLUID POWER', 'Commercial Fluid Power']",2,4,5,['United States Of America'],False
CRAIG WIRE PRODUCTS,"['CRAIG WIRE PRODUCTS', 'CRAIG WIRE PRODUCTS LLC']",2,4,11,['United States Of America'],True
CREATIVE CHEMISTRY SOLUTIONS,"['CREATIVE CHEMISTRY SOLUTIONS', 'CREATIVE CHEMISTRY SOLUTIONS CORPORATION']",2,4,7,"['Canada', 'United States Of America']",True
DIAMONDBACK BARRELS,"['DIAMONDBACK BARRELS', 'Diamondback Barrels']",2,4,5,['United States Of America'],False
EVAPCO,"['EVAPCO', 'Evapco Inc']",2,4,6,['United States Of America'],True
FLASH INDUSTRIAL TECHNOLOGY,"['FLASH INDUSTRIAL TECHNOLOGY', 'Flash Industrial Technology']",2,4,6,['United States Of America'],False
FUNDICIONES DEL ESTANDA,"['FUNDICIONES DEL ESTANDA', 'FUNDICIONES DEL ESTANDA SA']",2,4,6,"['Hungary', 'Spain']",True
GALION,"['GALION', 'Galion LLC']",2,4,6,['United States Of America'],True
KAY MANUFACTURING,"['KAY MANUFACTURING COMPANY', 'KAY MANUFACTURING']",2,4,11,['United States Of America'],True
KLEIN TOOLS,"['KLEIN TOOLS', 'KLEIN TOOLS INC']",2,4,8,['United States Of America'],True
MACLEAN POWER SYSTEMS,"['MACLEAN POWER SYSTEMS', 'MacLean Power Systems']",2,4,5,['United States Of America'],False
MONSTERAS METALL,"['MONSTERAS METALL', 'MÖNSTERÅS METALL']",2,4,6,['Sweden'],True
NICHIBEI,"['Nichibei', 'NICHIBEI']",2,4,5,['Japan'],False
NSK,"['NSK', 'NSK CORPORATION']",2,4,14,['Japan'],True
O M P,"['O M P', 'O.M.P']",2,4,7,['Italy'],True
ORCHID ORTHOPEDIC SOLUTIONS,"['ORCHID ORTHOPEDIC SOLUTIONS', 'ORCHID ORTHOPEDIC SOLUTIONS LLC']",2,4,7,['United States Of America'],True
PALL,"['PALL', 'PALL CORPORATION']",2,4,9,"['England', 'United States Of America']",True
REDOX,"['REDOX', 'REDOX PTY LTD']",2,4,5,['Australia'],True
RINKER MATERIALS,"['RINKER MATERIALS', 'Rinker Materials']",2,4,7,['United States Of America'],False
TEAM INDUSTRIES,"['TEAM INDUSTRIES', 'Team Industries']",2,4,8,['United States Of America'],False
TRIANGLE MACHINE,"['TRIANGLE MACHINE', 'Triangle Machine']",2,4,7,['United States Of America'],False
VOSS INDUSTRIES,"['VOSS INDUSTRIES', 'Voss Industries']",2,4,6,['United States Of America'],False
APPLE RUBBER PRODUCTS,"['APPLE RUBBER PRODUCTS INC', 'Apple Rubber Products Inc', 'Apple rubber Products Inc']",3,3,5,['United States Of America'],True
CARDINAL MANUFACTURING,"['CARDINAL MANUFACTURING', 'CARDINAL MANUFACTURING CO', 'Cardinal Manufacturing Co']",3,3,4,['United States Of America'],True
FIRST METALS AND PLASTICS,"['FIRST METALS AND PLASTICS', 'FIRST METALS AND PLASTICS INC', 'First Metals and Plastics Inc']",3,3,5,['United States Of America'],True
HORSCHEL BROTHERS PRECISION,"['HORSCHEL BROTHERS PRECISION', 'HORSCHEL BROTHERS PRECISION LLC', 'Horschel Brothers Precision']",3,3,5,['United States Of America'],True
JIIC SALES,"['JIIC SALES', 'JIIC Sales', 'JIIC Sales LLC']",3,3,6,['United States Of America'],True
NESBITT STEAM,"['NESBITT STEAM', 'NESBITT STEAM LLC', 'Nesbitt Steam LLC']",3,3,5,['United States Of America'],True
OHIO CRANKSHAFT,"['OHIO CRANKSHAFT', 'OHIO CRANKSHAFT COMPANY', 'Ohio Crankshaft Company']",3,3,8,['United States Of America'],True
PEAK ANALYSIS AUTOMATION,"['PEAK ANALYSIS AUTOMATION', 'Peak Analysis Automation', 'Peak Analysis Automation Inc']",3,3,5,['United States Of America'],True
RBM MANUFACTURING,"['RBM MANUFACTURING', 'RBM MANUFACTURING INC', 'RBM Manufacturing Inc']",3,3,4,['United States Of America'],True
RELINE,"['RELINE', 'Reline', 'Reline Inc']",3,3,6,['United States Of America'],True
SKC,"['SKC', 'SKC Inc', 'Skc Inc']",3,3,5,"['South Korea', 'United States Of America']",True
SMOLIC MACHINE,"['SMOLIC MACHINE', 'SMOLIC MACHINE COMPANY', 'Smolic Machine Company']",3,3,4,['United States Of America'],True
TITAN TOOL AND DIE,"['TITAN TOOL AND DIE', 'TITAN TOOL AND DIE INC', 'Titan Tool AND Die Inc']",3,3,5,['United States Of America'],True
UNITED METAL FABRICATORS,"['UNITED METAL FABRICATORS', 'United Metal Fabricators', 'United Metal Fabricators Inc']",3,3,6,['United States Of America'],True
A NOBEL EN ZN,"['A NOBEL EN ZN', 'A. NOBEL EN ZN.']",2,3,6,"['Netherlands', 'United States Of America']",True
AMERICAN HEAT TREATING,"['AMERICAN HEAT TREATING', 'American Heat Treating']",2,3,5,['United States Of America'],False
ANGSTROM,"['ANGSTROM', 'Angstrom']",2,3,8,['United States Of America'],False
AUTOMATION TOOL AND DIE,"['AUTOMATION TOOL AND DIE', 'Automation Tool and Die Inc']",2,3,4,['United States Of America'],True
BALZER,"['BALZER INC', 'BALZER']",2,3,5,['United States Of America'],True
BEARON,"['Bearon Corporation', 'BEARON']",2,3,5,['United States Of America'],True
BECKMAN COULTER,"['BECKMAN COULTER INC', 'BECKMAN COULTER']",2,3,6,['United States Of America'],True
BMG OF KANSAS,"['BMG OF KANSAS', 'BMG of Kansas']",2,3,4,['United States Of America'],False
BOBCAT,"['BOBCAT COMPANY', 'BOBCAT']",2,3,5,['United States Of America'],True
BONTAZ CENTRE,"['BONTAZ CENTRE', 'BONTAZ CENTRE SAS']",2,3,4,['France'],True
BRASSCRAFT MANUFACTURING,"['BRASSCRAFT MANUFACTURING', 'Brasscraft Manufacturing']",2,3,6,['United States Of America'],False
CAPCO,"['CAPCO', 'Capco Incorporated']",2,3,7,['United States Of America'],True
CARNEGIE MELLON,"['CARNEGIE MELLON', 'Carnegie Mellon']",2,3,6,['United States Of America'],False
CHAS SVEC,"['CHAS SVEC', 'CHAS SVEC INC']",2,3,4,['United States Of America'],True
CHRISTENSEN ARMS,"['CHRISTENSEN ARMS', 'Christensen Arms']",2,3,6,['United States Of America'],False
CNC PRECISION,"['CNC Precision', 'CNC PRECISION']",2,3,5,['United States Of America'],False
CONTI,"['CONTI', 'CONTI CORPORATION']",2,3,9,"['Italy', 'United States Of America']",True
CORRELL,"['CORRELL', 'CORRELL INC']",2,3,7,['United States Of America'],True
CREATIVE BLOW MOLD TOOLING,"['Creative Blow Mold Tooling', 'CREATIVE BLOW MOLD TOOLING']",2,3,6,['United States Of America'],False
DADCO,"['DADCO', 'DADCO INC']",2,3,6,['United States Of America'],True
