Normalized_GP,Variants,Number_of_Variants,Total_Ship_To_Count,Total_Row_Count,Countries,Any_Normalization_Changed
BECKWOOD PRESS,"['BECKWOOD PRESS', 'BECKWOOD PRESS CORP']",2,2,3,['United States Of America'],True
BELLEVILLE INTERNATIONAL,"['BELLEVILLE INTERNATIONAL', 'Belleville International']",2,2,4,['United States Of America'],False
BEN HUGHES,"['BEN HUGHES', 'BEN HUGHES LTD']",2,2,2,"['United Kingdom', 'United States Of America']",True
BESI MACHINING,"['BESI MACHINING', 'Besi Machining']",2,2,4,['United States Of America'],False
BETTS SPRING,"['BETTS SPRING', 'BETTS SPRING COMPANY']",2,2,4,['United States Of America'],True
BIG KEVS PERFORMANCE,"['BIG KEVS PERFORMANCE', 'Big Kevs Performance']",2,2,2,['United States Of America'],False
BILLET INDUSTRIES,"['BILLET INDUSTRIES', 'Billet Industries']",2,2,3,['United States Of America'],False
BOGUE MACHINE,"['BOGUE MACHINE', 'BOGUE MACHINE COMPANY INC']",2,2,4,"['China', 'United States Of America']",True
CAL SPRAY,"['CAL SPRAY', 'CAL SPRAY INC']",2,2,3,['United States Of America'],True
CAPITOL STAMPINGS,"['CAPITOL STAMPINGS', 'Capitol Stampings Corp']",2,2,2,['United States Of America'],True
CARMEUSE LIME AND STONE,"['CARMEUSE LIME AND STONE', 'CARMEUSE LIME and STONE INC']",2,2,4,['United States Of America'],True
CARRIER,"['CARRIER', 'CARRIER CORPORATION']",2,2,4,['United States Of America'],True
CARTERET DIE CASTING,"['CARTERET DIE CASTING', 'Carteret Die Casting Company']",2,2,3,['United States Of America'],True
CASCADE PATTERN,"['CASCADE PATTERN', 'Cascade Pattern Co']",2,2,2,['United States Of America'],True
CASTOOL TOOLING SYSTEMS,"['CASTOOL TOOLING SYSTEMS', 'Castool Tooling Systems']",2,2,3,['Canada'],False
CB DEKORNE,"['CB DeKorne', 'CB Dekorne']",2,2,4,['United States Of America'],False
CENTRAL SALES AND SERVICE,"['CENTRAL SALES AND SERVICE', 'Central Sales and Service Inc']",2,2,4,['United States Of America'],True
CHALMERS AND KUBECK,"['CHALMERS AND KUBECK', 'Chalmers and Kubeck']",2,2,2,['United States Of America'],False
CHENG DING HOICE,"['CHENG DING HOICE CO LTD', 'CHENG DING HOICE CO., LTD.']",2,2,2,['Taiwan'],True
CHESAPEAKE BURIAL VAULT,"['CHESAPEAKE BURIAL VAULT', 'Chesapeake Burial Vault']",2,2,4,['United States Of America'],False
CINEX,"['CINEX', 'CINEX INC']",2,2,6,"['Spain', 'United States Of America']",True
CLARKDIETRICH,"['CLARKDIETRICH', 'ClarkDietrich']",2,2,4,['United States Of America'],False
CLEAR CREEK SCREW MACHINE,"['CLEAR CREEK SCREW MACHINE', 'Clear Creek Screw Machine Co']",2,2,3,['United States Of America'],True
CLICK BOND,"['CLICK BOND', 'CLICK BOND INC']",2,2,4,['United States Of America'],True
CLINTON MACHINE,"['CLINTON MACHINE', 'Clinton Machine Co']",2,2,4,['United States Of America'],True
CM ENGINEERING,"['CM ENGINEERING', 'CM ENGINEERING INC']",2,2,4,['United States Of America'],True
CNCPROS INTERNATIONAL,"['CNCPROS INTERNATIONAL', 'CNCPROS International Inc']",2,2,3,['United States Of America'],True
COMPAX,"['COMPAX', 'Compax Inc']",2,2,3,['United States Of America'],True
COMPOSIDIE,"['COMPOSIDIE', 'Composidie']",2,2,3,['Italy'],False
CONNER MACHINE,"['CONNER MACHINE', 'Conner Machine']",2,2,4,['United States Of America'],False
CORESTAR INTERNATIONAL,"['CORESTAR INTERNATIONAL', 'CoreStar International Corp']",2,2,2,['United States Of America'],True
CROWN COMPOSITES TOOLING,"['CROWN COMPOSITES TOOLING', 'Crown Composites Tooling LLC']",2,2,3,['United States Of America'],True
CUSTOM COMPONENTS AND LOGISTICS,"['CUSTOM COMPONENTS AND LOGISTICS', 'Custom Components and Logistics']",2,2,4,['United States Of America'],False
CUSTOM DESIGN COMPONENTS,"['CUSTOM DESIGN COMPONENTS', 'Custom Design Components']",2,2,3,['United States Of America'],False
CYPRESS MACHINE SHOP,"['CYPRESS MACHINE SHOP', 'Cypress Machine Shop Inc']",2,2,3,['United States Of America'],True
D AND F SCREW,"['D AND F SCREW', 'D and F Screw']",2,2,3,['United States Of America'],False
D AND J MACHINERY,"['D AND J MACHINERY', 'D and J Machinery']",2,2,2,['United States Of America'],False
D AND N MACHINING,"['D AND N Machining', 'D and N Machining Company']",2,2,3,['United States Of America'],True
DANVILLE METAL STAMPING,"['DANVILLE METAL STAMPING', 'DANVILLE METAL STAMPING CO']",2,2,4,['United States Of America'],True
DAUPHIN PRECISION TOOL,"['DAUPHIN PRECISION TOOL', 'DAUPHIN PRECISION TOOL LLC']",2,2,3,['United States Of America'],True
DECHAPANICH FISHING NET FACTORY,"['DECHAPANICH  FISHING  NET  FACTORY', 'DECHAPANICH FISHING NET FACTORY']",2,2,4,['Thailand'],True
DEDRICK TOOL AND DIE,"['DEDRICK TOOL AND DIE INC', 'Dedrick Tool and Die Inc']",2,2,2,['United States Of America'],True
DELFORNO,"['DELFORNO', 'DELFORNO SRL']",2,2,4,['Italy'],True
DIGITAL MACHINING,"['DIGITAL MACHINING', 'Digital Machining LLC']",2,2,2,['United States Of America'],True
DIMENSION INDUSTRIES,"['DIMENSION INDUSTRIES', 'Dimension Industries']",2,2,4,['United States Of America'],False
DIXIE MACHINE SHOP,"['DIXIE MACHINE SHOP', 'Dixie Machine Shop']",2,2,4,['United States Of America'],False
DOUBLE TAP ENGINEERING,"['DOUBLE TAP ENGINEERING LLC', 'Double Tap Engineering LLC']",2,2,3,['United States Of America'],True
DOUGLAS AUTOTECH,"['DOUGLAS AUTOTECH CORP', 'Douglas Autotech Corp']",2,2,4,['United States Of America'],True
DYNAMIC STAMPINGS OF NC,"['DYNAMIC STAMPINGS OF NC', 'DYNAMIC STAMPINGS OF NC INC']",2,2,5,['United States Of America'],True
EAGLE METALS,"['EAGLE METALS', 'EAGLE METALS COMPANY']",2,2,4,['United States Of America'],True
EASTHAM FORGE,"['EASTHAM FORGE', 'EASTHAM FORGE INC']",2,2,4,['United States Of America'],True
EDGE WORKS MANUFACTURING,"['EDGE WORKS MANUFACTURING', 'Edge Works Manufacturing']",2,2,4,['United States Of America'],False
EDINBORO INDUSTRIES,"['EDINBORO INDUSTRIES', 'Edinboro Industries Inc']",2,2,4,['United States Of America'],True
ELEMENT MATERIALS TECH,"['ELEMENT MATERIALS TECH', 'Element Materials Tech']",2,2,4,['United States Of America'],False
ELITE OCTANE,"['ELITE OCTANE LLC', 'ELITE OCTANE, LLC']",2,2,3,['United States Of America'],True
ELMEC,"['ELMEC', 'ELMEC INC']",2,2,4,['Mexico'],True
ELMET TECHNOLOGIES,"['ELMET TECHNOLOGIES', 'ELMET TECHNOLOGIES LLC']",2,2,4,['United States Of America'],True
EMCIEN MACHINING,"['Emcien Machining', 'Emcien Machining Inc']",2,2,4,['United States Of America'],True
ENDRES MFG,"['ENDRES MFG CO', 'Endres Mfg Co']",2,2,3,['United States Of America'],True
ENERQUEST SERVICES,"['ENERQUEST SERVICES', 'EnerQuest Services Inc']",2,2,4,['United States Of America'],True
EQUIPEMENTS INDUSTRIELS IBS,"['EQUIPEMENTS INDUSTRIELS IBS', 'EQUIPEMENTS INDUSTRIELS IBS INC']",2,2,3,['Canada'],True
EROSION TECHNOLOGIES,"['EROSION TECHNOLOGIES', 'Erosion Technologies']",2,2,4,['United States Of America'],False
EUCLID HEAT TREATING,"['EUCLID HEAT TREATING', 'Euclid Heat Treating']",2,2,4,['United States Of America'],False
EURO LOCKS,"['EURO LOCKS', 'EURO LOCKS SA']",2,2,2,[],True
EUROTEC,"['EUROTEC', 'EUROTEC SRL']",2,2,5,['Italy'],True
EXTRUSIONS,"['EXTRUSIONS', 'EXTRUSIONS INC']",2,2,4,['United States Of America'],True
FAIRBANKS MORSE,"['FAIRBANKS MORSE', 'Fairbanks Morse']",2,2,3,['United States Of America'],False
FAIRBANKS MORSE ENGINE,"['FAIRBANKS MORSE ENGINE', 'Fairbanks Morse Engine']",2,2,3,['United States Of America'],False
FAYETTE CUSTOM WIRE PRODUCTS,"['FAYETTE CUSTOM WIRE PRODUCTS', 'Fayette Custom Wire Products']",2,2,2,['United States Of America'],False
FIESTA TABLEWARE,"['Fiesta Tableware', 'Fiesta Tableware Company']",2,2,2,['United States Of America'],True
FK INSTRUMENT,"['FK INSTRUMENT LLC', 'FK Instrument LLC']",2,2,3,['United States Of America'],True
FONDRIEST ENVIRONMENTAL,"['FONDRIEST ENVIRONMENTAL', 'fondriest Environmental Inc']",2,2,4,['United States Of America'],True
FORM TIGHT,"['FORM TIGHT', 'Form Tight Inc']",2,2,4,['United States Of America'],True
FOUR STATE INDUSTRIAL,"['FOUR STATE INDUSTRIAL', 'Four State Industrial']",2,2,3,['United States Of America'],False
GASFLO PRODUCTS,"['GASFLO PRODUCTS', 'GASFLO PRODUCTS INC']",2,2,6,['United States Of America'],True
GEM INDUSTRIES,"['GEM INDUSTRIES', 'GEM Industries']",2,2,4,['United States Of America'],False
GLASS COMPONENTS,"['GLASS COMPONENTS', 'GLASS COMPONENTS INC']",2,2,4,['United States Of America'],True
GLOBAL TRADING COMMODITIES,"['GLOBAL TRADING COMMODITIES', 'GLOBAL TRADING COMMODITIES LLC']",2,2,4,['United States Of America'],True
GWYNEDD MANUFACTURING,"['GWYNEDD MANUFACTURING', 'Gwynedd Manufacturing Inc']",2,2,4,['United States Of America'],True
H AND S SUPPLY,"['H AND S SUPPLY', 'H AND S SUPPLY CO']",2,2,3,['United States Of America'],True
HARDIN CREEK MACHINE AND TOOL,"['HARDIN CREEK MACHINE AND TOOL', 'Hardin Creek Machine AND Tool']",2,2,4,['United States Of America'],False
HARDW AIR,"['HARDW AIR INC', 'Hardw Air Inc']",2,2,4,['United States Of America'],True
HARDWARE UNLIMITED,"['HARDWARE UNLIMITED', 'HARDWARE UNLIMITED INC']",2,2,3,['Canada'],True
HERD MANUFACTURING,"['HERD MANUFACTURING', 'Herd Manufacturing']",2,2,3,['United States Of America'],False
HERMAN MACHINE,"['HERMAN MACHINE', 'Herman Machine Co']",2,2,3,['United States Of America'],True
HI TIDE MANUFACTURING,"['HI TIDE MANUFACTURING', 'Hi Tide Manufacturing']",2,2,2,['United States Of America'],False
HOFFMANN RAUMTECHNIK,"['HOFFMANN RAUMTECHNIK', 'HOFFMANN RÄUMTECHNIK GMBH']",2,2,3,['Germany'],True
HUA YONG MACHINE INDUSTRY,"['HUA YONG MACHINE INDUSTRY CO. LTD.', 'HUA YONG MACHINE INDUSTRY CO., LTD.']",2,2,2,[],True
HUMMELS OFFICE EQUIPMENT,"['HUMMELS OFFICE EQUIPMENT CO', 'Hummels Office Equipment Co']",2,2,3,['United States Of America'],True
HUSCO AUTOMOTIVE,"['HUSCO AUTOMOTIVE', 'Husco Automotive']",2,2,4,['United States Of America'],False
HYQUIP,"['HYQUIP', 'HYQUIP LIMITED']",2,2,4,['United Kingdom'],True
IMS,"['IMS', 'IMS LLC']",2,2,4,['United States Of America'],True
INDEPENDENT MACHINE,"['INDEPENDENT MACHINE', 'Independent Machine']",2,2,4,['United States Of America'],False
INDEPENDENT TOOL,"['INDEPENDENT TOOL', 'Independent Tool']",2,2,2,['United States Of America'],False
INDIAN CHAINS P,"['INDIAN CHAINS ( P ) LTD', 'INDIAN CHAINS P LTD']",2,2,4,['India'],True
INDUSTRIAL NUT,"['INDUSTRIAL NUT', 'INDUSTRIAL NUT CORPORATION']",2,2,3,['United States Of America'],True
INDUSTRIAL SUPPLY,"['INDUSTRIAL SUPPLY', 'INDUSTRIAL SUPPLY CO']",2,2,3,['United States Of America'],True
INSIGHTFUEL,"['INSIGHTFUEL', 'Insightfuel LLC']",2,2,4,"['Spain', 'United States Of America']",True
INTAT PRECISION,"['Intat Precision', 'Intat Precision Inc']",2,2,3,['United States Of America'],True
INTRA,"['INTRA CORPORATION', 'INTRA SRL']",2,2,3,"['Italy', 'United States Of America']",True
INVOTEC ENGINEERING,"['INVOTEC ENGINEERING', 'Invotec Engineering']",2,2,3,['United States Of America'],False
J AND L MANUFACTURING,"['J AND L MANUFACTURING', 'J AND L Manufacturing Inc']",2,2,4,"['Canada', 'United States Of America']",True
JACOBS,"['JACOBS', 'JACOBS CORPORATION']",2,2,3,['United States Of America'],True
JENJACS,"['JENJACS', 'Jenjacs']",2,2,2,['United States Of America'],False
JM GRIMSTAD,"['JM GRIMSTAD', 'JM GRIMSTAD INC']",2,2,4,['Norway'],True
JR ENGINEERING,"['JR Engineering', 'JR Engineering Inc']",2,2,4,['United States Of America'],True
JV MANUFACTURING,"['JV MANUFACTURING', 'JV Manufacturing Inc']",2,2,3,['United States Of America'],True
JWF INDUSTRIES,"['JWF INDUSTRIES', 'JWF Industries Inc']",2,2,3,['United States Of America'],True
KA WOOD GEAR AND MACHINE,"['KA WOOD GEAR AND MACHINE', 'KA Wood Gear and Machine']",2,2,4,['United States Of America'],False
KANE ARCHITECTURAL INNOVATIONS,"['KANE ARCHITECTURAL INNOVATIONS', 'Kane Architectural Innovations']",2,2,3,['United States Of America'],False
KEEN PUMP,"['KEEN PUMP COMPANY', 'Keen Pump']",2,2,3,['United States Of America'],True
KENNCO MANUFACTURING,"['KENNCO MANUFACTURING', 'Kennco Manufacturing']",2,2,2,['United States Of America'],False
KENT MOLD AND MFG,"['KENT MOLD AND MFG', 'Kent Mold and Mfg']",2,2,4,['United States Of America'],False
KINECTRICS,"['KINECTRICS', 'KINECTRICS INC']",2,2,4,['Canada'],True
KLAUBER MACHINE AND GEAR,"['KLAUBER MACHINE AND GEAR', 'Klauber Machine and Gear']",2,2,3,['United States Of America'],False
KMW,"['KMW', 'KMW LTD']",2,2,3,"['Germany', 'United States Of America']",True
KNIGHTS ARMAMENT,"['KNIGHTS ARMAMENT', 'Knights Armament']",2,2,2,['United States Of America'],False
KOLLMORGEN,"['KOLLMORGEN', 'KOLLMORGEN CORPORATION']",2,2,4,['United States Of America'],True
KOOIMA,"['KOOIMA AG', 'KOOIMA AG INC']",2,2,4,['United States Of America'],True
KOSAB I OLOFSTROM AB,"['KOSAB I OLOFSTROM AB', 'KOSAB I OLOFSTRÖM AB']",2,2,5,['Sweden'],True
KRANO BLOCK,"['KRANO BLOCK ', 'KRANO BLOCK PVT. LTD']",2,2,4,['India'],True
LAMINACION BASCONIA,"['LAMINACION BASCONIA', 'LAMINACION BASCONIA SA']",2,2,2,"['Argentina', 'Spain']",True
LANDTRAN LOGISTICS,"['LANDTRAN LOGISTICS', 'Landtran Logistics']",2,2,4,['Canada'],False
LAUER MACHINE AND MFG,"['LAUER MACHINE AND MFG', 'Lauer Machine and Mfg LTD']",2,2,4,"['Canada', 'United States Of America']",True
LENTEK,"['LENTEK SPA', 'LENTEK SRL']",2,2,3,['Italy'],True
LES OUTILS BARON MONTREAL,"['LES OUTILS BARON MONTREAL', 'Les Outils Baron Montreal']",2,2,4,['Canada'],False
LINCOLN MANUFACTURING,"['LINCOLN MANUFACTURING', 'Lincoln Manufacturing Inc']",2,2,3,['United States Of America'],True
LISI GROUP,"['LISI GROUP', 'LISI Group']",2,2,4,['France'],False
LISS,"['LISS', 'Liss']",2,2,4,['Hungary'],False
LITTLESTOWN FOUNDRY,"['LITTLESTOWN FOUNDRY', 'Littlestown Foundry Inc']",2,2,3,['United States Of America'],True
LOCUST GROVE,"['LOCUST GROVE', 'Locust Grove']",2,2,2,['United States Of America'],False
LOFLIN FABRICATION,"['LOFLIN FABRICATION', 'Loflin Fabrication']",2,2,3,['United States Of America'],False
LOGUE INDUSTRIES,"['LOGUE INDUSTRIES INC', 'Logue Industries Inc']",2,2,3,['United States Of America'],True
M AND S CONVERSION,"['M AND S CONVERSION', 'M AND S CONVERSION CO INC']",2,2,3,['United States Of America'],True
M K MORSE,"['M K MORSE CO', 'M K MORSE COMPANY']",2,2,9,['United States Of America'],True
MACK MANUFACTURING,"['MACK MANUFACTURING', 'MACK MANUFACTURING INC']",2,2,5,['United States Of America'],True
MAJAC TOOLING SUPPLY,"['MAJAC TOOLING SUPPLY LTD', 'Majac Tooling Supply Ltd']",2,2,4,['Canada'],True
MANITOWOC TOOL AND MACHINING,"['MANITOWOC TOOL AND MACHINING', 'Manitowoc Tool and Machining']",2,2,5,['United States Of America'],False
MANNS TOOL SPECIALTIES,"['MANNS TOOL SPECIALTIES', 'Manns Tool Specialties']",2,2,2,['United States Of America'],False
MASS PRECISION,"['MASS PRECISION', 'MASS PRECISION INC']",2,2,4,['United States Of America'],True
MATTHEWS LUBRICANTS,"['MATTHEWS LUBRICANTS', 'Matthews Lubricants']",2,2,3,['United States Of America'],False
MAYSTEEL,"['MAYSTEEL', 'MAYSTEEL CORPORATION']",2,2,4,['United States Of America'],True
MCC INTERNATIONAL,"['MCC INTERNATIONAL', 'MCC International Inc']",2,2,2,['United States Of America'],True
MEADOWBROOK MACHINE AND TOOL,"['MEADOWBROOK MACHINE AND TOOL', 'Meadowbrook Machine and Tool']",2,2,4,['United States Of America'],False
MERCURY AIRCRAFT,"['MERCURY AIRCRAFT', 'MERCURY AIRCRAFT INC']",2,2,3,['United States Of America'],True
MESTEK,"['MESTEK', 'MESTEK INC']",2,2,4,['United States Of America'],True
METAL CUTTING TECHNOLOGY,"['METAL CUTTING TECHNOLOGY PTY LTD', 'Metal Cutting Technology']",2,2,2,['Australia'],True
METALGRUP,"['METALGRUP', 'METALGRUP SA']",2,2,3,['Spain'],True
MFC NETFORM,"['MFC NETFORM', 'MFC Netform']",2,2,2,['United States Of America'],False
MI,"['MI', 'MI CORP']",2,2,4,['United States Of America'],True
MICRO STAMPING,"['MICRO STAMPING', 'MICRO STAMPING CORPORATION']",2,2,4,['United States Of America'],True
MID VALLEY INDUSTRIES,"['MID VALLEY INDUSTRIES', 'Mid Valley Industries Inc']",2,2,3,['United States Of America'],True
MID WEST FABRICATING,"['MID WEST FABRICATING', 'Mid West Fabricating Co']",2,2,3,['United States Of America'],True
MIDLANDS TOOLING SYSTEMS,"['MIDLANDS TOOLING SYSTEMS INC', 'Midlands Tooling Systems Inc']",2,2,5,['United States Of America'],True
MIDWAY INDUSTRIES,"['MIDWAY INDUSTRIES', 'Midway Industries']",2,2,2,['United States Of America'],False
MILITARY AND COMMERCIAL FASTENERS,"['MILITARY AND COMMERCIAL FASTENERS', 'MILITARY and COMMERCIAL FASTENERS']",2,2,4,['United States Of America'],False
MILLER WELDING AND MACHINE,"['MILLER WELDING AND MACHINE', 'MILLER WELDING and MACHINE CO']",2,2,4,['United States Of America'],True
MONTI,"['MONTI', 'MONTI INCORPORATED']",2,2,4,"['Italy', 'United States Of America']",True
MOON TOOL AND DIE,"['MOON TOOL AND DIE', 'MOON TOOL AND DIE CO']",2,2,4,['United States Of America'],True
MOORE INDUSTRIAL,"['Moore Industrial', 'Moore Industrial Ltd']",2,2,4,"['Canada', 'United States Of America']",True
MOSS SEAL,"['MOSS SEAL COMPANY', 'Moss Seal Company']",2,2,4,['United States Of America'],True
MSC DISTRIBUTING,"['MSC DISTRIBUTING', 'MSC Distributing Inc']",2,2,4,['United States Of America'],True
NARZEDZIA,"['LP NARZEDZIA', 'NARZEDZIA']",2,2,2,['Poland'],True
NASG SEATING BRYAN,"['NASG SEATING BRYAN LLC', 'NASG SEATING BRYAN, LLC']",2,2,4,['United States Of America'],True
NATH,"['NATH INC', 'Nath Inc']",2,2,3,['United States Of America'],True
NATIONAL MACHINERY,"['NATIONAL MACHINERY', 'NATIONAL MACHINERY COMPANY']",2,2,4,['United States Of America'],True
NATTAKORN PART GROUP,"['NATTAKORN PART GROUP', 'NATTAKORN PART GROUP LIMITED']",2,2,3,['Thailand'],True
NEBRASKA ALUMINUM CASTINGS,"['NEBRASKA ALUMINUM CASTINGS', 'NEBRASKA ALUMINUM CASTINGS INC']",2,2,2,['United States Of America'],True
NEDCO,"['NEDCO', 'NEDCO INC']",2,2,4,['United States Of America'],True
NEOLIN,"['NEOLIN SA.', 'Neolin']",2,2,3,['Argentina'],True
NEW ENGLAND PRECISION,"['NEW ENGLAND PRECISION', 'New England Precision']",2,2,4,['United States Of America'],False
NEW STANDARD,"['NEW STANDARD', 'NEW STANDARD CORPORATION']",2,2,3,['United States Of America'],True
NEWINGHALL,"['NEWINGHALL', 'NewingHall']",2,2,5,['United States Of America'],False
NIBCO,"['NIBCO', 'NIBCO INC']",2,2,4,['United States Of America'],True
NO LIMIT SWISS,"['NO LIMIT SWISS', 'No Limit Swiss']",2,2,3,['United States Of America'],False
NORKRAM,"['NORKRAM', 'NORKRAM LIMITED']",2,2,2,['Netherlands'],True
NORTHERN IOWA DIE CASTING,"['NORTHERN IOWA DIE CASTING', 'NORTHERN IOWA DIE CASTING INC']",2,2,4,['United States Of America'],True
NORTHERN KY MACHINE,"['NORTHERN KY MACHINE INC', 'Northern KY Machine Inc']",2,2,4,['United States Of America'],True
NORTHSIDE MACHINE,"['NORTHSIDE MACHINE', 'Northside Machine']",2,2,2,['United States Of America'],False
NORTHWEST PIPE,"['NORTHWEST PIPE', 'NORTHWEST PIPE COMPANY']",2,2,4,['United States Of America'],True
NORTHWEST TOOL GRINDERS,"['NORTHWEST TOOL GRINDERS', 'Northwest Tool Grinders']",2,2,4,['United States Of America'],False
OHIO STAR FORGE,"['OHIO STAR FORGE', 'Ohio Star Forge']",2,2,5,['United States Of America'],False
OHIO VALLEY MANUFACTURING,"['OHIO VALLEY MANUFACTURING', 'Ohio Valley Manufacturing']",2,2,4,['United States Of America'],False
OMEGA TOOL,"['OMEGA TOOL CORP', 'Omega Tool Corp']",2,2,4,['Canada'],True
OREGON PUMP WORKS,"['OREGON PUMP WORKS', 'Oregon Pump Works']",2,2,4,['United States Of America'],False
PBM CONSTRUCTORS,"['PBM CONSTRUCTORS INC', 'PBM Constructors Inc']",2,2,5,['United States Of America'],True
PCS FERGUSON,"['PCS FERGUSON', 'PCS Ferguson Inc']",2,2,4,['United States Of America'],True
PEERLESS SAW,"['PEERLESS SAW COMPANY', 'Peerless Saw Company']",2,2,8,['United States Of America'],True
PEM FASTENERS MALAYSIA,"['PEM FASTENERS (MALAYSIA).', 'PEM FASTENERS MALAYSIA']",2,2,2,['Malaysia'],True
PEREGRINE MACHINE,"['PEREGRINE MACHINE LLC', 'Peregrine Machine LLC']",2,2,2,['United States Of America'],True
PETERSON HEAT TREATING,"['PETERSON HEAT TREATING', 'Peterson Heat Treating']",2,2,4,['United States Of America'],False
PHILIP MORRIS M OAKLAND IND,"['PHILIP MORRIS (M) OAKLAND IND', 'PHILIP MORRIS M OAKLAND IND']",2,2,2,['United States Of America'],True
PHOENIX STAMPING GROUP,"['PHOENIX STAMPING GROUP', 'Phoenix Stamping Group LLC']",2,2,3,['United States Of America'],True
PHOENIX TRINITY MFG,"['PHOENIX TRINITY MFG', 'Phoenix Trinity MFG']",2,2,2,['United States Of America'],False
PIERCE MACHINE,"['PIERCE MACHINE', 'PIERCE MACHINE COMPANY']",2,2,3,['United States Of America'],True
POWER SYSTEMS MFG,"['POWER SYSTEMS MFG', 'Power Systems Mfg']",2,2,3,['United States Of America'],False
PRECI DIP,"['PRECI DIP', 'Preci Dip']",2,2,5,['Switzerland'],False
PRECISION BRASS AND BULLET,"['PRECISION BRASS AND BULLET', 'Precision Brass and Bullet']",2,2,4,['United States Of America'],False
PRECISION GRINDING,"['PRECISION GRINDING', 'Precision Grinding']",2,2,4,['United States Of America'],False
PRECISION TOOL AND DIE,"['PRECISION TOOL AND DIE', 'Precision Tool AND Die Inc']",2,2,3,['United States Of America'],True
PRECISION WELDING,"['PRECISION WELDING', 'Precision Welding']",2,2,3,['United States Of America'],False
PREMCO,"['PREMCO', 'Premco Inc']",2,2,4,['United States Of America'],True
PRI MAR PETROLEUM,"['PRI MAR PETROLEUM INC', 'Pri Mar Petroleum Inc']",2,2,3,['United States Of America'],True
PRINCETON TOOL,"['PRINCETON TOOL', 'Princeton Tool']",2,2,4,['United States Of America'],False
PRO MACHINE,"['PRO MACHINE', 'Pro Machine']",2,2,4,['United States Of America'],False
PRODUCTIVITY,"['PRODUCTIVITY', 'PRODUCTIVITY INC']",2,2,3,['United States Of America'],True
PRUITT MACHINE SHOP,"['PRUITT MACHINE SHOP', 'Pruitt Machine Shop']",2,2,3,['United States Of America'],False
QINGDAO JINGHONG PRECISION,"['QINGDAO JINGHONG PRECISION', 'QINGDAO JINGHONG PRECISION CO LTD']",2,2,2,['China'],True
QUADREL LABELING SYSTEMS,"['QUADREL LABELING SYSTEMS', 'Quadrel Labeling Systems']",2,2,2,['United States Of America'],False
QUALADIE,"['QUALADIE', 'QualaDie Inc']",2,2,4,['United States Of America'],True
QUALITY BOLT AND SCREW,"['Quality Bolt AND Screw Co', 'Quality Bolt AND Screw Company']",2,2,4,['United States Of America'],True
QUALITY METAL PRODUCTS,"['QUALITY METAL PRODUCTS', 'Quality Metal Products']",2,2,4,['United States Of America'],False
QUALITY PRODUCTS,"['QUALITY PRODUCTS', 'Quality Products']",2,2,3,['United States Of America'],False
R AND D FASTENERS,"['R AND D FASTENERS', 'R and D Fasteners']",2,2,4,['United States Of America'],False
RA,"['RA', 'SA RA']",2,2,3,"['Brazil', 'Turkey']",True
RAFTER EQUIPMENT,"['Rafter Equipment Corp', 'Rafter Equipment Corporation']",2,2,4,['United States Of America'],True
RAIDER OUTBOARDS,"['RAIDER OUTBOARDS', 'Raider Outboards']",2,2,2,['United States Of America'],False
RECYCLE EAST,"['RECYCLE EAST', 'RECYCLE INC EAST']",2,2,4,['United States Of America'],True
RICHARD ROSSA,"['RICHARD ROSSA', 'Richard Rossa']",2,2,3,['United States Of America'],False
RICHLAND,"['RICHLAND', 'Richland LLC']",2,2,3,['United States Of America'],True
RIVACOLD,"['RIVACOLD', 'RIVACOLD SRL']",2,2,2,['Italy'],True
RM TOOL AND DIE,"['RM TOOL AND DIE', 'RM Tool and Die Inc']",2,2,3,['United States Of America'],True
ROCKWOOD ENTERPRISES GROUP,"['ROCKWOOD ENTERPRISES GROUP INC', 'Rockwood Enterprises Group Inc']",2,2,2,['United States Of America'],True
ROLLTECH PRECISION METALS,"['ROLLTECH PRECISION METALS', 'Rolltech Precision Metals']",2,2,3,['United States Of America'],False
RONLEN INDUSTRIES,"['RONLEN INDUSTRIES', 'Ronlen Industries']",2,2,3,['United States Of America'],False
RUBBER CITY MACHINERY,"['RUBBER CITY MACHINERY CORP', 'Rubber City Machinery']",2,2,3,['United States Of America'],True
RUELCO,"['RUELCO', 'Ruelco']",2,2,5,['United States Of America'],False
RYERSON,"['RYERSON', 'Ryerson']",2,2,3,['United States Of America'],False
SACIL,"['SACIL', 'SACIL SRL']",2,2,4,['Italy'],True
SAFETY EQUIPMENT,"['SAFETY EQUIPMENT CORP', 'SAFETY EQUIPMENT CORPORATION']",2,2,3,['United States Of America'],True
SALES AND ENGINEERING,"['SALES and ENGINEERING', 'Sales and Engineering']",2,2,3,['United States Of America'],False
SAMCO ENTERPRISES,"['SAMCO ENTERPRISES', 'Samco Enterprises']",2,2,3,['India'],False
SAN SHING FASTECH,"['SAN SHING FASTECH', 'SAN SHING FASTECH CORP']",2,2,2,['Taiwan'],True
SAVE,"['SAVE', 'SAVE SRL']",2,2,8,['Italy'],True
SAW SERVICE,"['SAW SERVICE', 'Saw Service']",2,2,3,['United States Of America'],False
SCALE TOOLING,"['SCALE TOOLING', 'Scale Tooling']",2,2,4,['United States Of America'],False
SCHMIEDE,"['SCHMIEDE', 'Schmiede Corporation']",2,2,2,"['Germany', 'United States Of America']",True
SCORPION EQUITY,"['SCORPION EQUITY LLC', 'Scorpion Equity LLC']",2,2,3,['United States Of America'],True
