Global Parent,Ship_To_Count,Row_Count,GP_Country,Normalized_GP
NANJING FUYINGTE,9,11,China,NANJING FUYINGTE
OMP,9,19,Italy,OMP
PALMIERI,9,22,Italy,PALMIERI
PHOENIX CONTACT,9,14,Germany,PHOENIX CONTACT
QUALITY MANUFACTURING CORP,9,15,United States Of America,QUALITY MANUFACTURING
Quaker Houghton,9,13,United States Of America,QUAKER HOUGHTON
SCHAEFFLER,9,15,Germany,SCHAEFFLER
SPIROL INDUSTRIES,9,12,United States Of America,SPIROL INDUSTRIES
THERMI,9,12,Italy,THERMI
ACRO INDUSTRIES,8,13,United States Of America,ACRO INDUSTRIES
ALFA LAVAL,8,14,Sweden,ALFA LAVAL
ARCELORMITTAL,8,13,Luxembourg,ARCELORMITTAL
AREVA,8,16,France,AREVA
ASSOCIATED FINISHING,8,17,United States Of America,ASSOCIATED FINISHING
BONFIGLIOLI,8,12,Italy,BONFIGLIOLI
BRENNTAG,8,13,Germany,BRENNTAG
CUMMINS,8,12,United States Of America,CUMMINS
DAIKIN,8,13,Japan,DAIKIN
JOHNSON CONTROLS INC,8,19,United States Of America,JOHNSON CONTROLS
JOUSSEAU,8,9,France,JOUSSEAU
MAKINO,8,19,United States Of America,MAKINO
MANUFACTURINGLES,8,12,Canada,MANUFACTURINGLES
MECALUX,8,16,Spain,MECALUX
Metalcraft,8,12,United States Of America,METALCRAFT
NETZSCH,8,27,Germany,NETZSCH
ORONA,8,10,Australia,ORONA
REIFENHAUSER GROUP,8,13,Germany,REIFENHAUSER GROUP
SARL,8,11,France,SARL
SIGDO KOPPERS,8,15,Chile,SIGDO KOPPERS
TECSAW INTERNATIONAL,8,13,Canada,TECSAW INTERNATIONAL
TOYOTA,8,14,Japan,TOYOTA
ABBVIE,7,13,United States Of America,ABBVIE
AMENABAR,7,9,Spain,AMENABAR
ANVA GROUP,7,13,Spain,ANVA GROUP
CASH ACCOUNT,7,10,England,CASH ACCOUNT
CRANE PUMPS AND SYSTEMS,7,12,United States Of America,CRANE PUMPS AND SYSTEMS
