Global Parent,Ship_To_Count,Row_Count,GP_Country,Normalized_GP
BARBO ENERGIAS RENOVABLES,1,2,Sweden,BARBO ENERGIAS RENOVABLES
BARCO STAMPING,1,2,United States Of America,BARCO STAMPING
BARCO STAMPING CO,1,2,United States Of America,BARCO STAMPING
BARDAK FABRICATING,1,1,United States Of America,BARDAK FABRICATING
BARDEN FABRICATION,1,2,United States Of America,BARDEN FABRICATION
BARINOX,1,2,Italy,BARINOX
BARKSDALE AND ASSOCIATES,1,2,United States Of America,BARKSDALE AND ASSOCIATES
BARNES AND JONES,1,2,United States Of America,BARNES AND JONES
BARNES INTERNATIONAL,1,4,United States Of America,BARNES INTERNATIONAL
BARODA MANUFACTURING,1,1,United States Of America,BARODA MANUFACTURING
BARON CUTTING TOOLS INC,1,2,,BARON CUTTING TOOLS
BARRICKS MANUFACTURING CO,1,2,United States Of America,BARRICKS MANUFACTURING
BARRIE WELDING AND MACHINE,1,2,United States Of America,BARRIE WELDING AND MACHINE
BARRIE WELDING AND MACHINE 1974,1,2,Canada,BARRIE WELDING AND MACHINE 1974
BARRILES METALICOS,1,2,Mexico,BARRILES METALICOS
BARRINGTON METALWORKS,1,2,United States Of America,BARRINGTON METALWORKS
BARRY AND SEWALL,1,2,United States Of America,BARRY AND SEWALL
BARS LEAKS,1,1,United States Of America,BARS LEAKS
BARSPED GMBH,1,2,Germany,BARSPED
BARTH INDUSTRIES,1,2,United States Of America,BARTH INDUSTRIES
BARTON SOLVENTS,1,2,United States Of America,BARTON SOLVENTS
BAS SLOVENSKO SRO,1,2,Slovakia,BAS SLOVENSKO SRO
BAS TECNOLOGIA INDUSTRIAL,1,2,Spain,BAS TECNOLOGIA INDUSTRIAL
BASE 2,1,1,United States Of America,BASE 2
BASE 2 VIRGINIA,1,1,,BASE 2 VIRGINIA
BASIN ELECTRIC POWER,1,2,United States Of America,BASIN ELECTRIC POWER
BASIN ELECTRIC POWER COOP,1,1,United States Of America,BASIN ELECTRIC POWER COOP
BASONI,1,2,Italy,BASONI
BASSO,1,1,Argentina,BASSO
BASTA,1,2,United States Of America,BASTA
BATAL PRAZISIONSWELLEN GMBH,1,2,Germany,BATAL PRAZISIONSWELLEN
BATEMAN MANUFACTURING MAJAC,1,2,Canada,BATEMAN MANUFACTURING MAJAC
BATESVILLE TOOL AND DIE,1,2,United States Of America,BATESVILLE TOOL AND DIE
BATUAK,1,3,Spain,BATUAK
BAUER CUSTOM WELDING,1,1,United States Of America,BAUER CUSTOM WELDING
BAUMALU,1,2,France,BAUMALU
BAUTERMIC,1,1,Spain,BAUTERMIC
BAW PRECISION ENGINEERING LIMITED,1,2,United Kingdom,BAW PRECISION ENGINEERING
BAWTON CORPORATION,1,3,United States Of America,BAWTON
BAXLEY BLOWPIPE,1,2,United States Of America,BAXLEY BLOWPIPE
BAXTER,1,2,United States Of America,BAXTER
BAXTER HEALTHCARE,1,1,United States Of America,BAXTER HEALTHCARE
BAY CENTERLESS GRINDING,1,2,United States Of America,BAY CENTERLESS GRINDING
BAY MINETTE FACILITY LUBES,1,1,United States Of America,BAY MINETTE FACILITY LUBES
BAY STANDARD INC,1,2,United States Of America,BAY STANDARD
BAYKA BERLIN,1,2,Germany,BAYKA BERLIN
BAYLAN OLCU ALETLERI SAN TIC,1,2,Turkey,BAYLAN OLCU ALETLERI SAN TIC
BAYSIDE PAINT,1,2,United States Of America,BAYSIDE PAINT
BAYSWATER ENGINEERING,1,2,Australia,BAYSWATER ENGINEERING
BAYSWATER TOOLING COMPANY,1,1,Australia,BAYSWATER TOOLING
BAYTECH INDUSTRIES,1,2,United States Of America,BAYTECH INDUSTRIES
BAYTEK KESICI,1,1,Turkey,BAYTEK KESICI
BAZAN JUNGUITU,1,1,Spain,BAZAN JUNGUITU
BAZETTA,1,5,United States Of America,BAZETTA
BAZTARRIKA EZ,1,3,Spain,BAZTARRIKA EZ
BAZZANOSONSPTY,1,1,Australia,BAZZANOSONSPTY
BBE,1,1,United States Of America,BBE
BCN TRASVASES S L,1,1,,BCN TRASVASES S L
BD TECHNOLOGIES,1,1,United States Of America,BD TECHNOLOGIES
BDF INDUSTRIES SPA,1,2,Italy,BDF INDUSTRIES
BDI 2028,1,2,Canada,BDI 2028
BDM INDUSTRIES,1,2,United States Of America,BDM INDUSTRIES
BEACH FISHING,1,1,Seychelles,BEACH FISHING
BEACON GASKET,1,2,United States Of America,BEACON GASKET
BEACON INDUSTRIES,1,2,United States Of America,BEACON INDUSTRIES
BEARING LOGISTICS,1,2,United States Of America,BEARING LOGISTICS
BEARING SERVICE,1,2,United States Of America,BEARING SERVICE
BEARING THERMAL RESOURCES,1,2,United States Of America,BEARING THERMAL RESOURCES
BEARINGS SERVICE COMPANY OF PA,1,2,United States Of America,BEARINGS SERVICE OF PA
BEARON,1,2,United States Of America,BEARON
BEATTY INTERNATIONAL,1,1,United States Of America,BEATTY INTERNATIONAL
BEAVER PETROLEUM COMPANY INC,1,2,United States Of America,BEAVER PETROLEUM
BEAVER VALLEY MAIN WAREHOUSE,1,2,United States Of America,BEAVER VALLEY MAIN WAREHOUSE
BECHTEL,1,2,United States Of America,BECHTEL
BECKLIN HOLDINGS,1,2,United States Of America,BECKLIN HOLDINGS
BECKMAN COULTER,1,2,United States Of America,BECKMAN COULTER
BECKWITH DUTCH,1,1,United States Of America,BECKWITH DUTCH
BECKWOOD PRESS,1,2,United States Of America,BECKWOOD PRESS
BECKWOOD PRESS CORP,1,1,United States Of America,BECKWOOD PRESS
BECON INC,1,2,United States Of America,BECON
BEDFORD BURNOFF SERVICE,1,2,United States Of America,BEDFORD BURNOFF SERVICE
BEDFORD ENGINEERING,1,2,United States Of America,BEDFORD ENGINEERING
BEFESA ALUMINIO,1,1,Spain,BEFESA ALUMINIO
BEFESA ZINC ASER,1,1,Spain,BEFESA ZINC ASER
BEFO ALMELO BV,1,2,Netherlands,BEFO ALMELO
BEGHIM,1,2,Belgium,BEGHIM
BEGO TRADING,1,4,Germany,BEGO TRADING
BEIJING INSTITUTE OF AERONAUTICAL MATERIALS,1,2,China,BEIJING INSTITUTE OF AERONAUTICAL MATERIALS
BEIJING PETROLEUM MACHINERY FACTORY,1,2,China,BEIJING PETROLEUM MACHINERY FACTORY
BEIJING RUIDA,1,2,China,BEIJING RUIDA
BEIJING SHENGHENG-ZHONGGUO JIANZHSHIP MW,1,2,,BEIJING SHENGHENG ZHONGGUO JIANZHSHIP MW
BEIJING WANXIANG INDUSTRIAL,1,2,China,BEIJING WANXIANG INDUSTRIAL
BEKAMAK MAKINA,1,1,Turkey,BEKAMAK MAKINA
BEKKER,1,2,Netherlands,BEKKER
BEKKERS METAALSPUITWERKEN BV,1,2,Netherlands,BEKKERS METAALSPUITWERKEN
BEKTAS METAL,1,2,Turkey,BEKTAS METAL
BEL EXPORT,1,2,Brazil,BEL EXPORT
BELAQUA POOL SUPPLY,1,2,United States Of America,BELAQUA POOL SUPPLY
BELDEN,1,2,United States Of America,BELDEN
BELDEN INDIA,1,2,India,BELDEN INDIA
BELDEN WIRE AND CABLE,1,3,United States Of America,BELDEN WIRE AND CABLE
BELGIAN DEFENCE C O DYNA FE,1,3,Belgium,BELGIAN DEFENCE C O DYNA FE
BELGICAST INTERNACIONAL,1,1,Spain,BELGICAST INTERNACIONAL
BELISLE INDUSTRIES,1,2,Canada,BELISLE INDUSTRIES
BELKOZ,1,4,,BELKOZ
BELLA CONTRACTORS,1,1,United States Of America,BELLA CONTRACTORS
BELLA LUCE,1,3,United States Of America,BELLA LUCE
BELLE ENGINEERING,1,2,United Kingdom,BELLE ENGINEERING
BELLEVILLE INTERNATIONAL,1,2,United States Of America,BELLEVILLE INTERNATIONAL
BELLINGHAM MARINE,1,2,United States Of America,BELLINGHAM MARINE
BELLISIO FOODS,1,1,United States Of America,BELLISIO FOODS
BELLMAWR TRUCK CENTER,1,2,United States Of America,BELLMAWR TRUCK CENTER
BELMONT CALIFORNIA PLACENTIA,1,1,United States Of America,BELMONT CALIFORNIA PLACENTIA
BELMONT MICHIGAN,1,2,United States Of America,BELMONT MICHIGAN
BELTRAME LUIS BERNARDO,1,1,Argentina,BELTRAME LUIS BERNARDO
BELTREE OIL,1,6,United States Of America,BELTREE OIL
BELUB,1,1,Belgium,BELUB
BELVAC PRODUCTION MACHINERY,1,4,United States Of America,BELVAC PRODUCTION MACHINERY
BELVIEW INDUSTRIAL SUPPLY,1,2,United States Of America,BELVIEW INDUSTRIAL SUPPLY
BEMA,1,2,Brazil,BEMA
BEMAS METALNAYI VE TICARET,1,1,Turkey,BEMAS METALNAYI VE TICARET
BEMCO MACHINE WORKS,1,2,United States Of America,BEMCO MACHINE WORKS
BEN HUGHES,1,1,United States Of America,BEN HUGHES
BEN HUGHES LTD,1,1,United Kingdom,BEN HUGHES
BENCHMARK ELECTRONICS SUZHOU,1,2,China,BENCHMARK ELECTRONICS SUZHOU
BENCIVENNI IVO AND FIGLIO,1,2,Italy,BENCIVENNI IVO AND FIGLIO
BENES A LAT,1,1,Czech Republic,BENES A LAT
BENNETT,1,1,United States Of America,BENNETT
BENNETT HEAT TREATING,1,2,United States Of America,BENNETT HEAT TREATING
BENNETT HEAT TREATING BRAZING CO,1,1,United States Of America,BENNETT HEAT TREATING BRAZING
BENNETT MACHINE AND STAMPING,1,2,United States Of America,BENNETT MACHINE AND STAMPING
BENNETT TOOL AND DIE,1,1,United States Of America,BENNETT TOOL AND DIE
BENNETT TOOL AND DIE DBA AANDE,1,1,United States Of America,BENNETT TOOL AND DIE DBA AANDE
BENOIT JOLIVET,1,2,France,BENOIT JOLIVET
BENVENUTI,1,5,Romania,BENVENUTI
BENZI,1,3,Italy,BENZI
BEP SURFACE TECHNOLOGIES,1,2,United States Of America,BEP SURFACE TECHNOLOGIES
BEPO,1,5,Brazil,BEPO
BERENDSEN TEXTIEL SERVICE,1,2,Netherlands,BERENDSEN TEXTIEL SERVICE
BERETTA BENELLI IBERICA SA,1,2,Spain,BERETTA BENELLI IBERICA
BERG ENGINEERING & SALES COMPANY,1,2,,BERG ENGINEERING SALES
BERG ENGINEERING AND SALES COMPANY,1,2,United States Of America,BERG ENGINEERING AND SALES
BERG PROPULSION,1,1,Sweden,BERG PROPULSION
BERGE MARITIMA SL,1,2,Spain,BERGE MARITIMA SL
BERGER GROUP,1,2,Germany,BERGER GROUP
BERGERON MACHINE,1,2,United States Of America,BERGERON MACHINE
BERGOMAT,1,2,Germany,BERGOMAT
BERICAP,1,2,Germany,BERICAP
BERITECH,1,1,United States Of America,BERITECH
BERKLEE,1,1,Australia,BERKLEE
BERKSHIRE PRECISION TOOL,1,2,United States Of America,BERKSHIRE PRECISION TOOL
BERLINERLUFT,1,2,Brazil,BERLINERLUFT
BERNARD LABORATORIES,1,2,United States Of America,BERNARD LABORATORIES
BERNI GASTONE SRL UNIPERSONALE,1,2,Italy,BERNI GASTONE UNIPERSONALE
BERRI LANTEGIA,1,1,Spain,BERRI LANTEGIA
BERROETA,1,1,Spain,BERROETA
BERRY PLASTICS,1,2,United States Of America,BERRY PLASTICS
BERSA,1,1,Argentina,BERSA
BERTEC,1,1,United States Of America,BERTEC
BERTOLDO MECCANICA,1,2,Italy,BERTOLDO MECCANICA
BERTOLDO MECCANICA SNC,1,2,Italy,BERTOLDO MECCANICA SNC
BERTOLINITN,1,1,United States Of America,BERTOLINITN
BERTOT SRL,1,2,Italy,BERTOT
BERTRAM TOOL AND MACHINE,1,2,United States Of America,BERTRAM TOOL AND MACHINE
BERVIC ENGINEERING,1,1,Australia,BERVIC ENGINEERING
BES,1,2,France,BES
BESA,1,1,United States Of America,BESA
BESI MACHINING,1,2,United States Of America,BESI MACHINING
BEST AND FAST MOLD TECHNOLOGY,1,2,Thailand,BEST AND FAST MOLD TECHNOLOGY
BEST BLOCK OF ANN ARBOR,1,3,United States Of America,BEST BLOCK OF ANN ARBOR
BEST FINISHES,1,2,United States Of America,BEST FINISHES
BESTALINKS,1,2,United States Of America,BESTALINKS
BESTSERVE TRADING,1,1,Malaysia,BESTSERVE TRADING
BETAFENCE ITALIA,1,2,Italy,BETAFENCE ITALIA
BETARD SP Z OO,1,1,Poland,BETARD SP Z OO
BETILAN 2001 SL,1,2,Spain,BETILAN 2001 SL
BETRANCOURT,1,1,,BETRANCOURT
BETTER ENGINEERING MFG,1,4,United States Of America,BETTER ENGINEERING MFG
BETTER WAY GRINDING CO,1,2,United States Of America,BETTER WAY GRINDING
BETTS SPRING,1,2,United States Of America,BETTS SPRING
BETTS SPRING COMPANY,1,2,United States Of America,BETTS SPRING
BETTY MACHINE COMPANY,1,1,United States Of America,BETTY MACHINE
BEUTLHAUSER STANZTEC,1,2,Germany,BEUTLHAUSER STANZTEC
BEVEGO BYGGPLAT AND VENTILATION,1,1,Sweden,BEVEGO BYGGPLAT AND VENTILATION
BEVEGO IMPORTGATAN,1,1,Sweden,BEVEGO IMPORTGATAN
BEVERLIN MANUFACTURING,1,2,,BEVERLIN MANUFACTURING
BEVPRO ASIA CO,1,1,Thailand,BEVPRO ASIA
BFG SRL,1,1,Italy,BFG
BFW,1,2,France,BFW
BGB ENGINEERING,1,2,United Kingdom,BGB ENGINEERING
BGP PRESSOFUSIONE SPA,1,5,Italy,BGP PRESSOFUSIONE
BGP PRESSOFUSIONI,1,1,Italy,BGP PRESSOFUSIONI
BH MEDIA,1,2,United States Of America,BH MEDIA
BHARAT,1,1,,BHARAT
BHARAT FORGE,1,2,India,BHARAT FORGE
BHARAT HEAVY ELECTRICALS,1,1,India,BHARAT HEAVY ELECTRICALS
BHARAT METAL WORKS,1,2,India,BHARAT METAL WORKS
BHARDWAS INFRACON  MWI,1,2,India,BHARDWAS INFRACON MWI
BHAVESH MACHINE SHOP,1,2,Canada,BHAVESH MACHINE SHOP
BHC INC,1,2,United States Of America,BHC
BHEL,1,2,India,BHEL
BIANDITZ,1,3,Sweden,BIANDITZ
BIARRITZ CO2,1,2,Spain,BIARRITZ CO2
BIASSONI,1,2,Argentina,BIASSONI
BIBBY ENGINEERING,1,2,United Kingdom,BIBBY ENGINEERING
BIC RASOIRS,1,1,France,BIC RASOIRS
BICAM ENGINEERING,1,2,Australia,BICAM ENGINEERING
BICYCLE CORPORATION OF AMERICA,1,1,United States Of America,BICYCLE OF AMERICA
BIDAPRO,1,1,Spain,BIDAPRO
BIDDLE BV,1,2,Netherlands,BIDDLE
BIEFFE,1,2,Italy,BIEFFE
BIELA,1,1,Spain,BIELA
BIELOMATIK LEUZE,1,2,Germany,BIELOMATIK LEUZE
BIERSACK MASCHINENBAU,1,1,Germany,BIERSACK MASCHINENBAU
BIESTERFELD NORGE,1,2,Norway,BIESTERFELD NORGE
BIG KEVS PERFORMANCE,1,1,United States Of America,BIG KEVS PERFORMANCE
BIHLER OF AMERICA INC,1,2,United States Of America,BIHLER OF AMERICA
BILDU LAN,1,1,Spain,BILDU LAN
BILDU RECUPERADORA DE CHATARRAS,1,1,Spain,BILDU RECUPERADORA DE CHATARRAS
BILDUTRUCK,1,1,Spain,BILDUTRUCK
BILL QUAY PRECISION ENG,1,1,United Kingdom,BILL QUAY PRECISION ENG
BILL YASINSKI,1,2,United States Of America,BILL YASINSKI
BILLET INDUSTRIES,1,2,United States Of America,BILLET INDUSTRIES
BILLET PRECISION,1,4,Canada,BILLET PRECISION
BILSTEIN GROUP ENGINEERING,1,1,Germany,BILSTEIN GROUP ENGINEERING
BIMBA MANUFACTURING,1,2,United States Of America,BIMBA MANUFACTURING
BIN FU ELECTRONICS SHENZHEN CO LTD,1,1,China,BIN FU ELECTRONICS SHENZHEN
BINAR GROUP,1,1,Sweden,BINAR GROUP
BINDER,1,2,Germany,BINDER
BINGO PRECISION PARTS,1,1,China,BINGO PRECISION PARTS
BINKS,1,1,,BINKS
BINZEL,1,2,Germany,BINZEL
BIOMARINE,1,2,United States Of America,BIOMARINE
BIOMEDICAL ENTERPRISES,1,2,United States Of America,BIOMEDICAL ENTERPRISES
BIOMETAL,1,2,Brazil,BIOMETAL
BIONORD,1,1,Sweden,BIONORD
BIOSAN,1,2,Italy,BIOSAN
BIOTECH,1,2,Italy,BIOTECH
BIOTEK INSTRUMENTS,1,3,United States Of America,BIOTEK INSTRUMENTS
BIRDS EYE FOODS,1,2,United States Of America,BIRDS EYE FOODS
BIRIM MAKINA,1,1,Turkey,BIRIM MAKINA
BISON METAL TECHNOLOGIES LLC,1,1,United States Of America,BISON METAL TECHNOLOGIES
BISON METALS TECHNOLOGIES LLC,1,2,United States Of America,BISON METALS TECHNOLOGIES
BISSINGER AND STEIN,1,2,United States Of America,BISSINGER AND STEIN
BITTNER WERKZEUGBAU GMBH,1,2,Germany,BITTNER WERKZEUGBAU
BIX,1,2,Japan,BIX
BIZZOTTO SCAFFALATURE SRL,1,2,Italy,BIZZOTTO SCAFFALATURE
BJ75,1,1,China,BJ75
BJERRINGBRO FORNIKLING,1,3,Denmark,BJERRINGBRO FORNIKLING
BJØRNTOFT MASKINFABRIK,1,3,Denmark,BJØRNTOFT MASKINFABRIK
BK TOOL,1,3,Denmark,BK TOOL
BK UPHOLSTERY,1,2,United States Of America,BK UPHOLSTERY
BKNAV,1,2,Brazil,BKNAV
BKT,1,1,India,BKT
BKW INSTRUMENTS,1,2,United Kingdom,BKW INSTRUMENTS
BL Engineering & Machining (Pty) Ltd,1,1,,BL ENGINEERING MACHINING
BLACK AND CO,1,4,United States Of America,BLACK AND
BLACK BEAR LUBRICANTS,1,2,United States Of America,BLACK BEAR LUBRICANTS
BLACK DIAMOND EQUIPMENT,1,2,United States Of America,BLACK DIAMOND EQUIPMENT
BLACK KING KONG,1,2,Taiwan,BLACK KING KONG
BLACKBURN POWER,1,2,United Kingdom,BLACKBURN POWER
BLACKHAWK INDUSTRIAL DE MEXICO,1,1,,BLACKHAWK INDUSTRIAL DE MEXICO
BLACKMER,1,1,United States Of America,BLACKMER
BLACKNE MASKIN,1,2,Sweden,BLACKNE MASKIN
BLACKSTEEL ENGINEERING,1,1,Australia,BLACKSTEEL ENGINEERING
BLAIN NELSON,1,1,United States Of America,BLAIN NELSON
BLAIR MACHINE AND TOOL,1,2,United States Of America,BLAIR MACHINE AND TOOL
BLAST-TECH,1,2,,BLAST TECH
BLASTER CHEMICAL COMPANIES,1,2,United States Of America,BLASTER CHEMICAL COMPANIES
BLASTRAC,1,2,United States Of America,BLASTRAC
BLASTTECH,1,2,United States Of America,BLASTTECH
BLB MANUFACTURING,1,2,Canada,BLB MANUFACTURING
BLEASE ENGINEERING,1,2,United Kingdom,BLEASE ENGINEERING
BLISS CUSTOM MACHINING,1,1,United States Of America,BLISS CUSTOM MACHINING
BLIZZARD BUILDING SUPPLY,1,1,United States Of America,BLIZZARD BUILDING SUPPLY
BLK BOX,1,1,United Kingdom,BLK BOX
BLOCK AND COMPANY,1,1,United States Of America,BLOCK AND
BLOCK USA,1,2,United States Of America,BLOCK USA
BLOMBERG AND STENSSON,1,3,Sweden,BLOMBERG AND STENSSON
BLOWMOULDS AUSTRALIA,1,2,Australia,BLOWMOULDS AUSTRALIA
BLT GROUP,1,1,United Kingdom,BLT GROUP
BLU FLAME HEATERS,1,1,United States Of America,BLU FLAME HEATERS
BLUE DIAMOND ENG,1,2,United Kingdom,BLUE DIAMOND ENG
BLUE DOT SERVICES,1,2,United States Of America,BLUE DOT SERVICES
BLUE GRASS MFG,1,2,United States Of America,BLUE GRASS MFG
BLUE RIDGE MACHINERY AND TOOLS,1,2,United States Of America,BLUE RIDGE MACHINERY AND TOOLS
BLUE RIDGE PRESSURE CASTINGS,1,1,,BLUE RIDGE PRESSURE CASTINGS
BLUE STAR MALLEABLE,1,2,India,BLUE STAR MALLEABLE
BLUE WATER NEWFOUNDLAND,1,2,Canada,BLUE WATER NEWFOUNDLAND
BLUE WORLD TECHNOLOGIES,1,1,Denmark,BLUE WORLD TECHNOLOGIES
BLUESCOPE,1,2,Australia,BLUESCOPE
BLUESKY MAST,1,1,United States Of America,BLUESKY MAST
BLUESKY MAST INCH,1,2,United States Of America,BLUESKY MAST INCH
BLUESTONE MACHINE,1,2,United States Of America,BLUESTONE MACHINE
BLUEWATER DIVERS,1,4,United States Of America,BLUEWATER DIVERS
BLUNICO,1,3,Italy,BLUNICO
BLW KUNSTSTOFFEN BV,1,2,Netherlands,BLW KUNSTSTOFFEN
BM HAAPAVESI,1,3,Finland,BM HAAPAVESI
BM Rebuilders,1,2,United States Of America,BM REBUILDERS
BMB,1,2,Italy,BMB
BMB ENGINEERS,1,2,India,BMB ENGINEERS
BMC MACHINES BV,1,2,Netherlands,BMC MACHINES
BMC SRL,1,2,Italy,BMC
BMG of Kansas,1,1,United States Of America,BMG OF KANSAS
BMH METAL FORM,1,2,Australia,BMH METAL FORM
BML ENGINEERING,1,1,Hong Kong,BML ENGINEERING
BMM,1,2,India,BMM
BMR MEDICAL,1,2,Australia,BMR MEDICAL
BMS BEDFORD,1,2,United States Of America,BMS BEDFORD
BMS Manufacturing,1,2,United States Of America,BMS MANUFACTURING
BN COMERCIAL,1,4,Brazil,BN COMERCIAL
BN MECANICA,1,2,Brazil,BN MECANICA
BNS,1,3,Sweden,BNS
BOBCAT,1,2,United States Of America,BOBCAT
BOC CANNING VALE,1,1,,BOC CANNING VALE
BODYCOTE HEAT TREATMENT,1,1,,BODYCOTE HEAT TREATMENT
BOERHOF WELDING,1,2,Canada,BOERHOF WELDING
BOETHERM,1,2,Germany,BOETHERM
BOGUE MACHINE,1,2,China,BOGUE MACHINE
BOGUE MACHINE COMPANY INC,1,2,United States Of America,BOGUE MACHINE
BOHAI NENGKE DRILL PIPE,1,1,China,BOHAI NENGKE DRILL PIPE
BOJER MASKINTEKNIK,1,2,Denmark,BOJER MASKINTEKNIK
BOLALEKU SAT,1,3,Spain,BOLALEKU SAT
BOLDROCCHI,1,2,Italy,BOLDROCCHI
BOLDT,1,2,United States Of America,BOLDT
BOLLORE MIAMI CO QUALITY FREIGHT,1,2,United States Of America,BOLLORE MIAMI QUALITY FREIGHT
BOLT INDUSTRIES,1,2,United States Of America,BOLT INDUSTRIES
BOLTHOUSE FARMS,1,2,United States Of America,BOLTHOUSE FARMS
BOLTON ENG AND MANUF,1,2,United States Of America,BOLTON ENG AND MANUF
BOLTON STEEL AND TUBE,1,2,Canada,BOLTON STEEL AND TUBE
BOLTON TECH,1,2,Canada,BOLTON TECH
BOLZONI,1,2,Italy,BOLZONI
BOMAR DIV OF POMPANETTE LLC,1,2,United States Of America,BOMAR DIV OF POMPANETTE
BOMBARDIER,1,1,Canada,BOMBARDIER
BOMBIN LOGISTICA DE ALQUILER,1,1,Spain,BOMBIN LOGISTICA DE ALQUILER
BOME SRL,1,2,Italy,BOME
BOMEK,1,1,Norway,BOMEK
BOMLOY SL,1,1,Spain,BOMLOY SL
BONATRANS,1,2,Czech Republic,BONATRANS
BONBON LAND APS,1,2,Denmark,BONBON LAND APS
BOND MACHINE AND FABRICATION LLC,1,1,United States Of America,BOND MACHINE AND FABRICATION
BOND MACHINE COMPANY,1,1,United States Of America,BOND MACHINE
BONDED ROOFING SUPPLY,1,1,United States Of America,BONDED ROOFING SUPPLY
BONFIGLIOLI TRANSMISSIONS LIMITED MW,1,1,,BONFIGLIOLI TRANSMISSIONS MW
BONNEY FORGE,1,2,United States Of America,BONNEY FORGE
BONTAZ CENTRE SAS,1,2,France,BONTAZ CENTRE
BONTHRON EWING,1,3,Sweden,BONTHRON EWING
BONZI ANGELO,1,2,Italy,BONZI ANGELO
BOOIJ TRUCKING,1,1,Netherlands,BOOIJ TRUCKING
BOOM MAKINA,1,1,Turkey,BOOM MAKINA
BOON EDAM,1,2,Netherlands,BOON EDAM
BORDEAUX DYNO CAMS,1,2,United States Of America,BORDEAUX DYNO CAMS
BOREAS CONSULTING SCP,1,4,Spain,BOREAS CONSULTING SCP
BORGA STEEL BUILDINGS AND COMPONENTS,1,2,United States Of America,BORGA STEEL BUILDINGS AND COMPONENTS
BORGGARDS BRUK,1,1,Sweden,BORGGARDS BRUK
BORJESSSONS,1,3,Sweden,BORJESSSONS
BORKOMET,1,1,Poland,BORKOMET
BOROX INTERNATIONAL,1,3,Sweden,BOROX INTERNATIONAL
BOS MACHINE SHOP,1,2,United States Of America,BOS MACHINE SHOP
BOSHAN NEW CONSTANT TOOL MANUFACTURING LIMITED LIABILITY COM,1,2,China,BOSHAN NEW CONSTANT TOOL MANUFACTURING LIABILITY COM
BOSS2006 HUNGARIA KFT,1,2,Hungary,BOSS2006 HUNGARIA KFT
BOSTON GEAR,1,2,United States Of America,BOSTON GEAR
BOTECH,1,2,Netherlands,BOTECH
BOTEK - SMT SPECIAL MACHINE TOOLS S.R.L.,1,1,,BOTEK SMT SPECIAL MACHINE TOOLS S R L
BOTIL OIL TOOLS,1,2,India,BOTIL OIL TOOLS
BOTOU JINGBO,1,1,China,BOTOU JINGBO
BOTTA FORNI INDUSTRIALI,1,2,Italy,BOTTA FORNI INDUSTRIALI
BOURDAUD,1,2,France,BOURDAUD
BOURGEAUX FILS,1,1,France,BOURGEAUX FILS
BOURNOT NESTOR GUSTAVO,1,2,Argentina,BOURNOT NESTOR GUSTAVO
BOUYGUES EANDS MAINTINDUS,1,2,France,BOUYGUES EANDS MAINTINDUS
BOVE DI BOVE LUIGI,1,1,Italy,BOVE DI BOVE LUIGI
BOWEN PRODUCTS,1,2,United States Of America,BOWEN PRODUCTS
BOWERS MANUFACTURING,1,2,United States Of America,BOWERS MANUFACTURING
BOXFORD HOLDINGS,1,2,United Kingdom,BOXFORD HOLDINGS
BOYD WELDING,1,1,United States Of America,BOYD WELDING
BOYERTOWN FOUNDRY,1,2,United States Of America,BOYERTOWN FOUNDRY
BOYET MANUFACTURING,1,2,United States Of America,BOYET MANUFACTURING
BPG AB,1,1,,BPG AB
BPI BRAKING SYSTEMS,1,2,Mexico,BPI BRAKING SYSTEMS
BPM DECOLLETAGE,1,2,France,BPM DECOLLETAGE
BQFT WF,1,1,,BQFT WF
BR GRINDING,1,2,United States Of America,BR GRINDING
BR STEENS SNICKERIFABRIK,1,2,Sweden,BR STEENS SNICKERIFABRIK
BRAARUP MASKINFABRIK APS,1,2,Denmark,BRAARUP MASKINFABRIK APS
BRACKIN WHOLESALE,1,2,United States Of America,BRACKIN WHOLESALE
BRAD MILLMAN,1,2,Canada,BRAD MILLMAN
BRADDOCK METALLURGICAL,1,2,United States Of America,BRADDOCK METALLURGICAL
BRADDOCK METALLURIGICAL,1,2,United States Of America,BRADDOCK METALLURIGICAL
BRADEN EUROPE,1,3,Netherlands,BRADEN EUROPE
BRADLEY CORPORATION,1,1,United States Of America,BRADLEY
BRADLEY DANIEL,1,1,United States Of America,BRADLEY DANIEL
BRADLEY PULVERIZER,1,2,United States Of America,BRADLEY PULVERIZER
BRADLEYTHOMPSON TOOL COMPANY,1,2,United States Of America,BRADLEYTHOMPSON TOOL
BRAININ ADVANCE INDUSTRIES,1,2,United States Of America,BRAININ ADVANCE INDUSTRIES
BRAKKEN ENGINEERING,1,1,Norway,BRAKKEN ENGINEERING
BRANACH ROWVILLE,1,1,,BRANACH ROWVILLE
BRANACH TECHNOLOGY,1,3,Australia,BRANACH TECHNOLOGY
BRANDELLI ART,1,2,United States Of America,BRANDELLI ART
BRANER,1,5,United States Of America,BRANER
BRANNON MACHINE AND DIE,1,6,United States Of America,BRANNON MACHINE AND DIE
BRANTON TOOLS LLC,1,2,United States Of America,BRANTON TOOLS
BRASIL QUIMICA,1,2,Brazil,BRASIL QUIMICA
BRASILAMARRAS,1,2,Brazil,BRASILAMARRAS
BRASLO,1,2,Brazil,BRASLO
BRAWO,1,2,United States Of America,BRAWO
BRAY,1,1,,BRAY
BRAZIL NEW DIVISION,1,2,Brazil,BRAZIL NEW DIVISION
