GP,Candidate,Score,Decision
PHELPS INDUSTRIES,LS INDUSTRIES,86.66666666666667,
PMI INDUSTRIES,MIHIR INDUSTRIES,86.66666666666667,
POLISH INDUSTRIES,LS INDUSTRIES,86.66666666666667,
PP MASKINTEKNIK,TN MASKINTEKNIK,86.66666666666667,
PRICE INDUSTRIES,PMI INDUSTRIES,86.66666666666667,
PRICE INDUSTRIES,PAI INDUSTRIES,86.66666666666667,
PRICE INDUSTRIES,NRC INDUSTRIES,86.66666666666667,
PRL INDUSTRIES,PRICE INDUSTRIES,86.66666666666667,
PWP ENGINEERING,SVP ENGINEERING,86.66666666666667,
PWP ENGINEERING,OPG ENGINEERING,86.66666666666667,
PWP ENGINEERING,MRP ENGINEERING,86.66666666666667,
PWP ENGINEERING,L W ENGINEERING,86.66666666666667,
PWP ENGINEERING,JAP ENGINEERING,86.66666666666667,
PWP ENGINEERING,J P ENGINEERING,86.66666666666667,
PYLE INDUSTRIES,VALE INDUSTRIES,86.66666666666667,
PYLE INDUSTRIES,PACE INDUSTRIES,86.66666666666667,
QUEST INDUSTRIES,LES INDUSTRIES,86.66666666666667,
RAH INDUSTRIES,RAPID INDUSTRIES,86.66666666666667,
RAPID INDUSTRIES,PMI INDUSTRIES,86.66666666666667,
RAPID INDUSTRIES,PAI INDUSTRIES,86.66666666666667,
REVA ENGINEERING,JR ENGINEERING,86.66666666666667,
REVA ENGINEERING,GA ENGINEERING,86.66666666666667,
RFC INDUSTRIES,PRICE INDUSTRIES,86.66666666666667,
RMH INDUSTRIES,MIHIR INDUSTRIES,86.66666666666667,
SECOA TECHNOLOGY,TEC TECHNOLOGY,86.66666666666667,
SEGOR INDUSTRIES,WEG INDUSTRIES,86.66666666666667,
SEGOR INDUSTRIES,VSR INDUSTRIES,86.66666666666667,
SKYO INDUSTRIES,SCOT INDUSTRIES,86.66666666666667,
SOLID PRODUCTION,ROL PRODUCTION,86.66666666666667,
SPAW ENGINEERING,ST ENGINEERING,86.66666666666667,
SPAW ENGINEERING,SK ENGINEERING,86.66666666666667,
SPAW ENGINEERING,PT ENGINEERING,86.66666666666667,
SPAW ENGINEERING,GA ENGINEERING,86.66666666666667,
STAR ENGINEERING,GA ENGINEERING,86.66666666666667,
STAR ENGINEERING,SK ENGINEERING,86.66666666666667,
STAR ENGINEERING,PT ENGINEERING,86.66666666666667,
STAR ENGINEERING,JR ENGINEERING,86.66666666666667,
SVP ENGINEERING,JAP ENGINEERING,86.66666666666667,
SVP ENGINEERING,J P ENGINEERING,86.66666666666667,
SVR ENGINEERING,JMS ENGINEERING,86.66666666666667,
SVR ENGINEERING,IRC ENGINEERING,86.66666666666667,
SVR ENGINEERING,GRF ENGINEERING,86.66666666666667,
TALLERES IBARRE,TALLERES ARREGI,86.66666666666667,
TEAM INDUSTRIES,UTEX INDUSTRIES,86.66666666666667,
TEK ENTERPRISES,QED ENTERPRISES,86.66666666666667,
TEXMO INDUSTRIES,TEC INDUSTRIES,86.66666666666667,
THETA INDUSTRIES,TEC INDUSTRIES,86.66666666666667,
THETA INDUSTRIES,INDUSTRIES TLT,86.66666666666667,
TMB INDUSTRIES,TEXMO INDUSTRIES,86.66666666666667,
TMB INDUSTRIES,LATEM INDUSTRIES,86.66666666666667,
TNL ENGINEERING,IDT ENGINEERING,86.66666666666667,
TNL ENGINEERING,HTT ENGINEERING,86.66666666666667,
TNL ENGINEERING,GTI ENGINEERING,86.66666666666667,
TOMET MECHANICS,METAL MECHANICS,86.66666666666667,
TOP DIE CASTING,TVT DIE CASTING,86.66666666666667,
TOTAL PRECISION,TOMAK PRECISION,86.66666666666667,
TOWER PRECISION,ROWES PRECISION,86.66666666666667,
TRIER INDUSTRIES,TEC INDUSTRIES,86.66666666666667,
TROY DESIGN AND MANUFACTURING,URGENT DESIGN AND MANUFACTURING,86.66666666666667,
TSP ENGINEERING,GTI ENGINEERING,86.66666666666667,
TSP ENGINEERING,HTT ENGINEERING,86.66666666666667,
UTEX INDUSTRIES,UTIL INDUSTRIES,86.66666666666667,
V TECH INDUSTRIE,TEC INDUSTRIES,86.66666666666667,
VALE INDUSTRIES,PACE INDUSTRIES,86.66666666666667,
VALLEY MACHINING,VALLEY MACHINE,86.66666666666667,
VDL INDUSTRIES,MAVAL INDUSTRIES,86.66666666666667,
WOLSELEY IND GRP NH BALLBEARING,WOLSELEY IND GRP218 NH BALLBE,86.66666666666667,
YANN ENGINEERING,GA ENGINEERING,86.66666666666667,
ZML INDUSTRIES,MAVAL INDUSTRIES,86.66666666666667,
ABBY MANUFACTURING,FANDB MANUFACTURING,86.48648648648648,
ACME METAL PRODUCTS,CCI METAL PRODUCTS,86.48648648648648,
ADEPT MANUFACTURING,AEON MANUFACTURING,86.48648648648648,
ADFAST MANUFACTURING,FTT MANUFACTURING,86.48648648648648,
ADFAST MANUFACTURING,A D MANUFACTURING,86.48648648648648,
ALPHA MANUFACTURING,ANCA MANUFACTURING,86.48648648648648,
ALPHA MANUFACTURING,ALCO MANUFACTURING,86.48648648648648,
AMANDA MANUFACTURING,A D MANUFACTURING,86.48648648648648,
AMBAC INTERNATIONAL,HANA INTERNATIONAL,86.48648648648648,
ANVIL INTERNATIONAL,HANA INTERNATIONAL,86.48648648648648,
ARC INTERNATIONAL,GARMIN INTERNATIONAL,86.48648648648648,
AVOCA ENGINEERING,AUTOCAST ENGINEERING,86.48648648648648,
BAKER MANUFACTURING,MACK MANUFACTURING,86.48648648648648,
BAKER MANUFACTURING,AEON MANUFACTURING,86.48648648648648,
BARKEV ENGINEERING,BRAKKEN ENGINEERING,86.48648648648648,
BARNES INTERNATIONAL,ARC INTERNATIONAL,86.48648648648648,
BARODA MANUFACTURING,A D MANUFACTURING,86.48648648648648,
BARODA MANUFACTURING,AER MANUFACTURING,86.48648648648648,
BARODA MANUFACTURING,BAP MANUFACTURING,86.48648648648648,
BECK MANUFACTURING,BAKER MANUFACTURING,86.48648648648648,
BILLCO MANUFACTURING,BLB MANUFACTURING,86.48648648648648,
BILLCO MANUFACTURING,COX MANUFACTURING,86.48648648648648,
BILLCO MANUFACTURING,ITC MANUFACTURING,86.48648648648648,
BILLCO MANUFACTURING,LMC MANUFACTURING,86.48648648648648,
BIMBA MANUFACTURING,ABBY MANUFACTURING,86.48648648648648,
BIMBA MANUFACTURING,MACK MANUFACTURING,86.48648648648648,
BLEASE ENGINEERING,BLUEMAH ENGINEERING,86.48648648648648,
BOWERS MANUFACTURING,AER MANUFACTURING,86.48648648648648,
BOWERS MANUFACTURING,BMS MANUFACTURING,86.48648648648648,
BOWERS MANUFACTURING,EHS MANUFACTURING,86.48648648648648,
BOYET MANUFACTURING,ABBY MANUFACTURING,86.48648648648648,
BOYET MANUFACTURING,BECK MANUFACTURING,86.48648648648648,
BRILEY MANUFACTURING,BLB MANUFACTURING,86.48648648648648,
BRYANT MACHINE SHOP,BANDS MACHINE SHOP,86.48648648648648,
BUSCH MANUFACTURING,BECK MANUFACTURING,86.48648648648648,
BUTTY MANUFACTURING,ABBY MANUFACTURING,86.48648648648648,
BUTTY MANUFACTURING,CURT MANUFACTURING,86.48648648648648,
BWISE MANUFACTURING,BECK MANUFACTURING,86.48648648648648,
CALLEN MANUFACTURING,CGL MANUFACTURING,86.48648648648648,
CALLEN MANUFACTURING,CNC MANUFACTURING,86.48648648648648,
CALLEN MANUFACTURING,AER MANUFACTURING,86.48648648648648,
CANTEC MANUFACTURING,AER MANUFACTURING,86.48648648648648,
CANTEC MANUFACTURING,AWC MANUFACTURING,86.48648648648648,
CANTEC MANUFACTURING,ITC MANUFACTURING,86.48648648648648,
CAVIST MANUFACTURING,CSS MANUFACTURING,86.48648648648648,
CAVIST MANUFACTURING,ITC MANUFACTURING,86.48648648648648,
CHAPIN MANUFACTURING,BAP MANUFACTURING,86.48648648648648,
CHAPIN MANUFACTURING,CNC MANUFACTURING,86.48648648648648,
COUSINS ENGINEERING,AUSTIN ENGINEERING,86.48648648648648,
CYGNUS MANUFACTURING,CGL MANUFACTURING,86.48648648648648,
CYGNUS MANUFACTURING,CNC MANUFACTURING,86.48648648648648,
CYGNUS MANUFACTURING,CSS MANUFACTURING,86.48648648648648,
D K POWDER COATING,EDGE POWDER COATING,86.48648648648648,
D K POWDER COATING,PEAK POWDER COATING,86.48648648648648,
DEMMER MANUFACTURING,AER MANUFACTURING,86.48648648648648,
DEMSEY MANUFACTURING,BMS MANUFACTURING,86.48648648648648,
DEMSEY MANUFACTURING,EHS MANUFACTURING,86.48648648648648,
DORNER MANUFACTURING,AER MANUFACTURING,86.48648648648648,
EAGLE MANUFACTURING,AEON MANUFACTURING,86.48648648648648,
EAGLE MANUFACTURING,ALCO MANUFACTURING,86.48648648648648,
EJA INTERNATIONAL,BEATTY INTERNATIONAL,86.48648648648648,
ELRAY MANUFACTURING,ABBY MANUFACTURING,86.48648648648648,
ELRAY MANUFACTURING,HERD MANUFACTURING,86.48648648648648,
ELRAY MANUFACTURING,LYON MANUFACTURING,86.48648648648648,
FANDB MANUFACTURING,AEON MANUFACTURING,86.48648648648648,
FANDB MANUFACTURING,ANCA MANUFACTURING,86.48648648648648,
FARMCO MANUFACTURING,AWC MANUFACTURING,86.48648648648648,
FARMCO MANUFACTURING,AER MANUFACTURING,86.48648648648648,
FARMCO MANUFACTURING,COX MANUFACTURING,86.48648648648648,
FARMCO MANUFACTURING,JFC MANUFACTURING,86.48648648648648,
FARMCO MANUFACTURING,LMC MANUFACTURING,86.48648648648648,
FARNDON ENGINEERING,FLANCO ENGINEERING,86.48648648648648,
FECHNER ENGINEERING,WERNER ENGINEERING,86.48648648648648,
GLOBAL MANUFACTURING,BAP MANUFACTURING,86.48648648648648,
GLOBAL MANUFACTURING,BLB MANUFACTURING,86.48648648648648,
GLOBAL MANUFACTURING,CGL MANUFACTURING,86.48648648648648,
GRW ENGINEERING PTY,NJ ENGINEERING PTY,86.48648648648648,
GUILD INTERNATIONAL,GOIN INTERNATIONAL,86.48648648648648,
GULFCO MANUFACTURING,JFC MANUFACTURING,86.48648648648648,
GULFCO MANUFACTURING,LMC MANUFACTURING,86.48648648648648,
GULFCO MANUFACTURING,CGL MANUFACTURING,86.48648648648648,
GULFCO MANUFACTURING,COX MANUFACTURING,86.48648648648648,
HANSEN MANUFACTURING,AER MANUFACTURING,86.48648648648648,
HANSEN MANUFACTURING,EHS MANUFACTURING,86.48648648648648,
HAPPYDAY ENGINEERING,KAPPA ENGINEERING,86.48648648648648,
HARRIS MANUFACTURING,AER MANUFACTURING,86.48648648648648,
HARRIS MANUFACTURING,EHS MANUFACTURING,86.48648648648648,
HARSH INTERNATIONAL,HANA INTERNATIONAL,86.48648648648648,
HARTEC MANUFACTURING,AER MANUFACTURING,86.48648648648648,
HARTEC MANUFACTURING,AWC MANUFACTURING,86.48648648648648,
HARTEC MANUFACTURING,ITC MANUFACTURING,86.48648648648648,
HAYES MANUFACTURING,ABBY MANUFACTURING,86.48648648648648,
HAYES MANUFACTURING,AEON MANUFACTURING,86.48648648648648,
HENRY MANUFACTURING,AEON MANUFACTURING,86.48648648648648,
HERD MANUFACTURING,BAKER MANUFACTURING,86.48648648648648,
HERD MANUFACTURING,HAYES MANUFACTURING,86.48648648648648,
HICKMAN MANUFACTURING,CK MANUFACTURING,86.48648648648648,
HOOSIER TOOL AND DIE,PIER TOOL AND DIE,86.48648648648648,
HUNTER ENGINEERING,FECHNER ENGINEERING,86.48648648648648,
HYZAG INTERNATIONAL,HANA INTERNATIONAL,86.48648648648648,
IMAGE MANUFACTURING,AEON MANUFACTURING,86.48648648648648,
IMAGE MANUFACTURING,MACK MANUFACTURING,86.48648648648648,
IMI INTERNATIONAL,GARMIN INTERNATIONAL,86.48648648648648,
IMI INTERNATIONAL,HILITE INTERNATIONAL,86.48648648648648,
JPW MANUFACTURING COD,CW MANUFACTURING,86.48648648648648,
KAREL MANUFACTURING,AEON MANUFACTURING,86.48648648648648,
KAREL MANUFACTURING,ALCO MANUFACTURING,86.48648648648648,
KEITH ENGINEERING,KENWORTH ENGINEERING,86.48648648648648,
KENNCO MANUFACTURING,CNC MANUFACTURING,86.48648648648648,
KENNCO MANUFACTURING,COX MANUFACTURING,86.48648648648648,
LAI INTERNATIONAL,URANIE INTERNATIONAL,86.48648648648648,
LAWRENCE ENGINEERING,RENCH ENGINEERING,86.48648648648648,
LENNOX MANUFACTURING,COX MANUFACTURING,86.48648648648648,
LIST INDUSTRIES INC,LOC INDUSTRIES INC,86.48648648648648,
LUND MANUFACTURING,MANDR MANUFACTURING,86.48648648648648,
LUND MANUFACTURING,FANDB MANUFACTURING,86.48648648648648,
MAC B MANUFACTURING,BECK MANUFACTURING,86.48648648648648,
MAC B MANUFACTURING,ALCO MANUFACTURING,86.48648648648648,
MAC B MANUFACTURING,ANCA MANUFACTURING,86.48648648648648,
MACHINE PRODUCTS,NOVA MACHINE PRODUCTS,86.48648648648648,
MALAN ENGINEERING,MCMILLAN ENGINEERING,86.48648648648648,
MANDR MANUFACTURING,AEON MANUFACTURING,86.48648648648648,
MANDR MANUFACTURING,ANCA MANUFACTURING,86.48648648648648,
MANDR MANUFACTURING,MACK MANUFACTURING,86.48648648648648,
MANUFACTURING SALES,MARS MANUFACTURING,86.48648648648648,
MANUFACTURING SALES,VOSS MANUFACTURING,86.48648648648648,
MARION MANUFACTURING,RAO MANUFACTURING,86.48648648648648,
MC3 MANUFACTURING,MCGILL MANUFACTURING,86.48648648648648,
MC3 MANUFACTURING,MCLANE MANUFACTURING,86.48648648648648,
MCLANE MANUFACTURING,SAE MANUFACTURING,86.48648648648648,
MECHON ENGINEERING,FECHNER ENGINEERING,86.48648648648648,
MECHON ENGINEERING,MURTECH ENGINEERING,86.48648648648648,
MERCURY MANUFACTURING,MC MANUFACTURING,86.48648648648648,
METRIC MANUFACTURING,MC3 MANUFACTURING,86.48648648648648,
METRIC MANUFACTURING,MKC MANUFACTURING,86.48648648648648,
METRIC MANUFACTURING,TAC MANUFACTURING,86.48648648648648,
METRIC MANUFACTURING,TRD MANUFACTURING,86.48648648648648,
MKC MANUFACTURING,MCGILL MANUFACTURING,86.48648648648648,
MKC MANUFACTURING,MCLANE MANUFACTURING,86.48648648648648,
MON INTERNATIONAL,OSBORN INTERNATIONAL,86.48648648648648,
MTAR TECHNOLOGIES,GENSTAR TECHNOLOGIES,86.48648648648648,
NATAYO MANUFACTURING,RAO MANUFACTURING,86.48648648648648,
NATAYO MANUFACTURING,TAC MANUFACTURING,86.48648648648648,
NATEX ENGINEERING,NOVATECH ENGINEERING,86.48648648648648,
POWDER COATING PLUS,OSO POWDER COATING,86.48648648648648,
PRECISE TOOL AND DIE,PIER TOOL AND DIE,86.48648648648648,
PREMIER MANUFACTURING,PE MANUFACTURING,86.48648648648648,
PRENCO MANUFACTURING,PPC MANUFACTURING,86.48648648648648,
PRENCO MANUFACTURING,RAO MANUFACTURING,86.48648648648648,
PRODUCTION CASTINGS,PRODUCTION PLATING,86.48648648648648,
RADCON ENGINEERING,FARNDON ENGINEERING,86.48648648648648,
RAND MACHINE PRODUCTS,MACHINE PRODUCTS,86.48648648648648,
RILTA ENVIRONMENTAL,HEIL ENVIRONMENTAL,86.48648648648648,
RM INDUSTRIES INC,MACRO INDUSTRIES INC,86.48648648648648,
ROACH MANUFACTURING,RIMA MANUFACTURING,86.48648648648648,
ROACH MANUFACTURING,ZERO MANUFACTURING,86.48648648648648,
ROKWELL INDUSTRIES,PACKWELL INDUSTRIES,86.48648648648648,
ROSCO ENGINEERING,PROTOCOL ENGINEERING,86.48648648648648,
ROSER TECHNOLOGIES,GRAVER TECHNOLOGIES,86.48648648648648,
ROSER TECHNOLOGIES,OLIVER TECHNOLOGIES,86.48648648648648,
SARNS INDUSTRIES INC,RM INDUSTRIES INC,86.48648648648648,
SENSOR MANUFACTURING,S S MANUFACTURING,86.48648648648648,
SENSOR MANUFACTURING,SAE MANUFACTURING,86.48648648648648,
SENSOR MANUFACTURING,STS MANUFACTURING,86.48648648648648,
SETA TECHNOLOGIES,GENSTAR TECHNOLOGIES,86.48648648648648,
SETINA MANUFACTURING,SAE MANUFACTURING,86.48648648648648,
SETINA MANUFACTURING,STS MANUFACTURING,86.48648648648648,
SETINA MANUFACTURING,TAC MANUFACTURING,86.48648648648648,
SNYDER MANUFACTURING,SAE MANUFACTURING,86.48648648648648,
SOHN MANUFACTURING,ROACH MANUFACTURING,86.48648648648648,
SOHN MANUFACTURING,SOLDY MANUFACTURING,86.48648648648648,
SP MANUFACTURING PTE,PPC MANUFACTURING,86.48648648648648,
SP MANUFACTURING PTE,S S MANUFACTURING,86.48648648648648,
SP MANUFACTURING PTE,SHP MANUFACTURING,86.48648648648648,
SP MANUFACTURING PTE,STS MANUFACTURING,86.48648648648648,
STAR POWDER COATING,J R POWDER COATING,86.48648648648648,
STAR POWDER COATING,PRO POWDER COATING,86.48648648648648,
STATES MANUFACTURING,S S MANUFACTURING,86.48648648648648,
STATES MANUFACTURING,TAC MANUFACTURING,86.48648648648648,
TRD MANUFACTURING,TENDON MANUFACTURING,86.48648648648648,
TROY MANUFACTURING,ROACH MANUFACTURING,86.48648648648648,
TROY MANUFACTURING,SOLDY MANUFACTURING,86.48648648648648,
TURBOTECH MACHINING,PRO TECH MACHINING,86.48648648648648,
TYCO INTERNACIONAL,TYLOK INTERNATIONAL,86.48648648648648,
UNLMACH MANUFACTURING,MC MANUFACTURING,86.48648648648648,
US BOLT MANUFACTURING,BT MANUFACTURING,86.48648648648648,
VALCO MANUFACTURING,VOSS MANUFACTURING,86.48648648648648,
VERNAY MANUFACTURING,RAO MANUFACTURING,86.48648648648648,
VICTOR INSULATOR INC,VICTOR INSULATORS,86.48648648648648,
WARREN MANUFACTURING,SAE MANUFACTURING,86.48648648648648,
WEBCO MANUFACTURING,ZERO MANUFACTURING,86.48648648648648,
YAN LUNG INDUSTRIAL,LIU YAO INDUSTRIAL,86.48648648648648,
YU MING INDUSTRIAL,LIN YUEN INDUSTRIAL,86.48648648648648,
YUHARA MANUFACTURING,RAO MANUFACTURING,86.48648648648648,
ZERO MANUFACTURING,NEWCO MANUFACTURING,86.48648648648648,
ZION INDUSTRIES INC,LDI INDUSTRIES INC,86.48648648648648,
ZION INDUSTRIES INC,LOC INDUSTRIES INC,86.48648648648648,
ZIPPO MANUFACTURING,ZERO MANUFACTURING,86.48648648648648,
BACKERWOODS MANUFACTURING,BAKER MANUFACTURING,86.36363636363636,
CECO MACHINE AND TOOL,CUSTOM MACHINE AND TOOL,86.36363636363636,
CENTER MACHINE AND TOOL,CECO MACHINE AND TOOL,86.36363636363636,
CHICO METAL FINISHING,CLASSIC METAL FINISHING,86.36363636363636,
D AND K POWDER COATING,E AND R POWDER COATING,86.36363636363636,
D AND K POWDER COATING,R AND L POWDER COATING,86.36363636363636,
DICKMANN MANUFACTURING,DUTCHMAN MANUFACTURING,86.36363636363636,
DIEMOND MACHINE AND TOOL,IGD MACHINE AND TOOL,86.36363636363636,
ELECTRO METAL FINISHING,ELITE METAL FINISHING,86.36363636363636,
FHC INDUSTRIAL SUPPLY,FLOOD INDUSTRIAL SUPPLY,86.36363636363636,
HARRISON MANUFACTURING,BARRICKS MANUFACTURING,86.36363636363636,
HARRISON MANUFACTURING,ANDERSON MANUFACTURING,86.36363636363636,
HEAT TREATMENT FENGTAI,HEAT TREATMENT GENARIC,86.36363636363636,
JIS SPECIALTY PRODUCTS,SPECIALTY BAR PRODUCTS,86.36363636363636,
MANUFACTURING SALES,METAL SALES MANUFACTURING,86.36363636363636,
MEYCO MACHINE AND TOOL,MAJOR TOOL AND MACHINE,86.36363636363636,
PRISM TECHNOLOGIES INC,RANDS TECHNOLOGIES INC,86.36363636363636,
SOUTHCO MANUFACTURING,SOUTHLAND MANUFACTURING,86.36363636363636,
TENK MACHINE AND TOOL,SATNAM MACHINE AND TOOL,86.36363636363636,
TENK MACHINE AND TOOL,MODERN MACHINE AND TOOL,86.36363636363636,
THAMES MACHINE AND TOOL,TENK MACHINE AND TOOL,86.36363636363636,
THURSTON MANUFACTURING,PETERSON MANUFACTURING,86.36363636363636,
TRISTATE TOOL AND DIE,TRISTATE TOOL AND HOIST,86.36363636363636,
ADVANCED MOLDEDM SUPPLIES,ADVANCED MOLD EDM SUPPLIES,86.27450980392157,
ALABAMA SPECIALTY PRODUCTS,MARMAC SPECIALTY PRODUCTS,86.27450980392157,
AUTOMATION TOOL AND DIE,CANADIAN AUTOMATION AND TOOL,86.27450980392157,
DAVIES PRECISION MACHINING,ANREN PRECISION MACHINING,86.27450980392157,
ELITE SURFACE TECHNOLOGIES,ROLL SURFACE TECHNOLOGIES,86.27450980392157,
IGR ENGINEERING SERVICES,HILLIER ENGINEERING SERVICE,86.27450980392157,
KMF PRECISION ENGINEERING CC,KD PRECISION ENGINEEING,86.27450980392157,
LARSON TOOL AND STAMPING,PRECISION TOOL AND STAMPING,86.27450980392157,
MACHINING TECHNOLOGIES,MATRIX MACHINING TECHNOLOGIES,86.27450980392157,
MP TOOL AND ENGINEERING,SPECIAL TOOL AND ENGINEERING,86.27450980392157,
MT MACHINING TECHNOLOGIES INC,MACHINING TECHNOLOGIES,86.27450980392157,
MYERS PRECISION GRINDING,PETERSON PRECISION GRINDING,86.27450980392157,
NEZKOT PRECISION ENGINEERING,KD PRECISION ENGINEEING,86.27450980392157,
REGAL PRECISION ENGINEERING,PS PRECISION ENGINEERING,86.27450980392157,
THUMB TOOL AND ENGINEERING,MACK TOOL AND ENGINEERING,86.27450980392157,
COWETA MACHINE AND FABRICATION,BOND MACHINE AND FABRICATION,86.20689655172413,
MATRIX MACHINING TECHNOLOGIES,MT MACHINING TECHNOLOGIES INC,86.20689655172413,
PREMIER MACHINE PRODUCTS INC,PRECISION MACHINE PRODUCTS INC,86.20689655172413,
RAINEY ENGINEERING SOLUTIONS,INGENICO ENGINEERING SOLUTIONS,86.20689655172413,
SLANEY PRECISION ENGINEERING,STARGATE PRECISION ENGINEERING,86.20689655172413,
SINASTEEL XINGTAI MACHINERY ROLL,SINOSTEEL GROUP XINGTAI MACHINERY ROLLER,86.11111111111111,
ENGINEERING TECHNOLOGIES AND MANUFACTURING,TOWNLEY ENGINEERING AND MANUFACTURING,86.07594936708861,
3D INSTRUMENTS,BC INSTRUMENTS,85.71428571428572,
A R D INDUSTRIES,AD INDUSTRIE,85.71428571428572,
AALBERTS INDUSTRIES,BETTS INDUSTRIES,85.71428571428572,
AANDH CUSTOM MACHINE,R AND D CUSTOM MACHINE,85.71428571428572,
AATLAS INDUSTRIAL EQUIPMENT,AUTO AND INDUSTRIAL EQUIPMENT,85.71428571428572,
AB5 INDUSTRIES,ACK INDUSTRIES,85.71428571428572,
AB5 INDUSTRIES,AFC INDUSTRIES,85.71428571428572,
AB5 INDUSTRIES,AMG INDUSTRIES,85.71428571428572,
ABORE ENGINEERING,BARKEV ENGINEERING,85.71428571428572,
ABS MACHINING,LANDS MACHINING,85.71428571428572,
AC MACHINE,A 1 MACHINE,85.71428571428572,
ACM,ACIM,85.71428571428572,
ACME,ACM,85.71428571428572,
ACTRON,ACCUTRON,85.71428571428572,
AD INDUSTRIE,DANDH INDUSTRIES,85.71428571428572,
ADEPT MANUFACTURING,BT MANUFACTURING,85.71428571428572,
ADEPT MANUFACTURING,HD MANUFACTURING,85.71428571428572,
ADVANCED MACHINING SERVICES,DMC MACHINING SERVICES,85.71428571428572,
AERO FINISHING,ABLE FINISHING,85.71428571428572,
AEROTECH,ARTECH,85.71428571428572,
AFAB INDUSTRIES,AH INDUSTRIES,85.71428571428572,
AFAB INDUSTRIES,AI INDUSTRIES,85.71428571428572,
AFAB INDUSTRIES,AK INDUSTRIES,85.71428571428572,
AFAB INDUSTRIES,AZ INDUSTRIES,85.71428571428572,
AFFA,AFA,85.71428571428572,
AGES,AES,85.71428571428572,
AGRYMIN COMPONENTES,ARIM COMPONENTES,85.71428571428572,
AK S INDUSTRIES,AH INDUSTRIES,85.71428571428572,
AK S INDUSTRIES,AI INDUSTRIES,85.71428571428572,
AK S INDUSTRIES,AZ INDUSTRIES,85.71428571428572,
AK S INDUSTRIES,LS INDUSTRIES,85.71428571428572,
AK S INDUSTRIES,SK INDUSTRIES,85.71428571428572,
ALCON TOOL,MARCON TOOL,85.71428571428572,
ALEXANDER MANUFACTURING,MANDR MANUFACTURING,85.71428571428572,
ALFA PRECISION,ELAN PRECISION,85.71428571428572,
ALGI INDUSTRIE,AMG INDUSTRIES,85.71428571428572,
ALGI INDUSTRIE,ARI INDUSTRIES,85.71428571428572,
ALLCAMS MACHINE,ATLAS MACHINE,85.71428571428572,
ALPHA MANUFACTURING,HD MANUFACTURING,85.71428571428572,
ALUMACH,ALUMASC,85.71428571428572,
AMERICAN INDUSTRIES,ERVIN INDUSTRIES,85.71428571428572,
AMERICAN MANUFACTURING,AMANDA MANUFACTURING,85.71428571428572,
AMES,AES,85.71428571428572,
AMES,AMS,85.71428571428572,
AMG INDUSTRIES,ACK INDUSTRIES,85.71428571428572,
ANDERDON MACHINE AND TOOL,DIEMOND MACHINE AND TOOL,85.71428571428572,
ANDERSON INTERNATIONAL,BARNES INTERNATIONAL,85.71428571428572,
ANDERSON INTERNATIONAL,HAYNES INTERNATIONAL,85.71428571428572,
ANDERSON MACHINE,AERO MACHINE,85.71428571428572,
ANDERSON MANUFACTURING,HANSEN MANUFACTURING,85.71428571428572,
AP PRECISION METALS,HARCON PRECISION METALS,85.71428571428572,
API,ZAPI,85.71428571428572,
APUS INDUSTRIES,AH INDUSTRIES,85.71428571428572,
APUS INDUSTRIES,AI INDUSTRIES,85.71428571428572,
APUS INDUSTRIES,AK INDUSTRIES,85.71428571428572,
APUS INDUSTRIES,AZ INDUSTRIES,85.71428571428572,
ARC INTERNATIONAL,HANA INTERNATIONAL,85.71428571428572,
ARCTECH,ZARTECH,85.71428571428572,
ARTISTIC MANUFACTURING,HARTEC MANUFACTURING,85.71428571428572,
ATEK,TEK,85.71428571428572,
ATLANTIC,ATLANT,85.71428571428572,
ATRION MEDICAL,ATRIUM MEDICAL,85.71428571428572,
AUTOCAST ENGINEERING,AOS ENGINEERING,85.71428571428572,
B AND B MANUFACTURING,C AND R MANUFACTURING,85.71428571428572,
BAIC,BIC,85.71428571428572,
BAKER ENGINEERING,BERVIC ENGINEERING,85.71428571428572,
BAKER ENGINEERING,BETTER ENGINEERING,85.71428571428572,
BAKER ENGINEERING,BLEASE ENGINEERING,85.71428571428572,
BARINOX,ARMINOX,85.71428571428572,
BARKEV ENGINEERING,ARTEC ENGINEERING,85.71428571428572,
BARNES INTERNATIONAL,A FORCES INTERNATIONAL,85.71428571428572,
BARODA MANUFACTURING,ACRODYNE MANUFACTURING,85.71428571428572,
BARODA MANUFACTURING,EBERHARD MANUFACTURING,85.71428571428572,
BASONI,BIASSONI,85.71428571428572,
BAUMANN,BAXMANN,85.71428571428572,
BAW PRECISION ENGINEERING,PS PRECISION ENGINEERING,85.71428571428572,
BBB INDUSTRIES,BCF INDUSTRIES,85.71428571428572,
BBB INDUSTRIES,AB5 INDUSTRIES,85.71428571428572,
BBB INDUSTRIES,ASB INDUSTRIES,85.71428571428572,
BBB INDUSTRIES,BDM INDUSTRIES,85.71428571428572,
BCF INDUSTRIES,COG INDUSTRIES,85.71428571428572,
BCF INDUSTRIES,AB5 INDUSTRIES,85.71428571428572,
BCF INDUSTRIES,ACK INDUSTRIES,85.71428571428572,
BCF INDUSTRIES,AFC INDUSTRIES,85.71428571428572,
BCF INDUSTRIES,ASB INDUSTRIES,85.71428571428572,
BCF INDUSTRIES,BDM INDUSTRIES,85.71428571428572,
BD TECHNOLOGIES,KTECHNOLOGIES,85.71428571428572,
BDM INDUSTRIES,AB5 INDUSTRIES,85.71428571428572,
