Entity_1,Representative_1,Members_1,Countries_1,Ship_To_1,Entity_2,Representative_2,Members_2,Countries_2,Ship_To_2,Confidence,Combined_Name_Length,Ratio,Partial_Ratio,Token_Sort,Token_Set,Total_Ship_To
E013541,PANGUANETA,PANGUANETA,,1,E013542,PANGUANETA S P A,PANGUANETA S.P.A,,1,Medium,26,76.9,100.0,76.9,100.0,2
E015438,SHAPE,SHAPE CORP,United States Of America,1,E015439,SHAPE CZ,SHAPE CORP CZ,,1,Medium,13,76.9,100.0,76.9,100.0,2
E016316,TALLERES MECANICOS,TALLERES MECANICOS,Spain,1,E016320,TALLERES MECANICOS SOPUERTASL,TALLERES MECANICOS SOPUERTASL,Spain,1,Medium,47,76.6,100.0,76.6,100.0,2
E009413,HEAT TREATERS,HEAT TREATERS,United States Of America,1,E013703,PERMIAN HEAT TREATERS,PERMIAN HEAT TREATERS,United States Of America,1,Medium,34,76.5,100.0,76.5,100.0,2
E005230,B AND B MANUFACTURING AND ASSEMBLY,B AND B MANUFACTURING AND ASSEMBLY,United States Of America,1,E005231,B AND B MANUFACTURING,B AND B MANUFACTURING CO,United States Of America,1,Medium,55,76.4,100.0,76.4,100.0,2
E004730,ANDERSEN,ANDERSEN,United States Of America,1,E012376,MIKE ANDERSEN,MIKE ANDERSEN,Denmark,1,Medium,21,76.2,100.0,76.2,100.0,2
E004839,AQUA CHEMICAL,AQUA CHEMICAL,United States Of America,1,E006897,CHEMICAL,Chemical Corporation,Wales,1,Medium,21,76.2,100.0,76.2,100.0,2
E005101,AUTOMATED MACHINE PRODUCTS,AUTOMATED MACHINE PRODUCTS INC,United States Of America,1,E011691,MACHINE PRODUCTS,MACHINE PRODUCTS,United States Of America,1,Medium,42,76.2,100.0,76.2,100.0,2
E006109,CASTINGS,CASTINGS,United Kingdom,1,E014246,PURE CASTINGS,PURE CASTINGS,United States Of America,1,Medium,21,76.2,100.0,76.2,100.0,2
E006897,CHEMICAL,Chemical Corporation,Wales,1,E011521,LOWE CHEMICAL,LOWE CHEMICAL,United States Of America,1,Medium,21,76.2,100.0,76.2,100.0,2
E010835,KDT FABRICATIONS,KDT FABRICATIONS,United Kingdom,1,E010836,KDT FABRICATIONS CLEVELAND,KDT FABRICATIONS CLEVELAND,,1,Medium,42,76.2,100.0,76.2,100.0,2
E011646,LIONSHEAD PRECISION METALS,Lionshead Precision Metals Inc,United States Of America,1,E014011,PRECISION METALS,PRECISION METALS,United States Of America,1,Medium,42,76.2,100.0,76.2,100.0,2
E011441,LMT FINANCE AND SHARED SERVICES,LMT Finance and Shared Services GmbH,Germany,1,E011445,LMT SHARED SERVICES,LMT SHARED SERVICES,Germany,1,Medium,50,76.0,91.4,76.0,100.0,2
E006839,CUSTOM FLUID POWER,CUSTOM FLUID POWER,Australia,1,E008406,FLUID POWER,FLUID POWER,United States Of America,1,Medium,29,75.9,100.0,75.9,100.0,2
