Global Parent,Ship_To_Count,Row_Count,GP_Country,Normalized_GP,Normalization_Changed
INCORA,9,20,England,INCORA,False
JUNKER GROUP,9,16,Germany,JUNKER GROUP,False
Kaman Corporation,9,17,,KAMAN,True
MASKINFABRIKKEN,9,23,Denmark,MASKINFABRIKKEN,False
MAZAK,9,17,Japan,MAZAK,False
MERRICK MACHINERY & SUPPLY,9,22,,MERRICK MACHINERY SUPPLY,True
MICHELIN,9,11,France,MICHELIN,False
NAGEL Group,9,15,Germany,NAGEL GROUP,False
NANJING FUYINGTE,9,11,China,NANJING FUYINGTE,False
OMP,9,19,Italy,OMP,False
PALMIERI,9,22,Italy,PALMIERI,False
PHOENIX CONTACT,9,14,Germany,PHOENIX CONTACT,False
QUALITY MANUFACTURING CORP,9,15,United States Of America,QUALITY MANUFACTURING,True
Quaker Houghton,9,13,United States Of America,QUAKER HOUGHTON,False
SCHAEFFLER,9,15,Germany,SCHAEFFLER,False
SPIROL INDUSTRIES,9,12,United States Of America,SPIROL INDUSTRIES,False
THERMI,9,12,Italy,THERMI,False
ACRO INDUSTRIES,8,13,United States Of America,ACRO INDUSTRIES,False
ALFA LAVAL,8,14,Sweden,ALFA LAVAL,False
ARCELORMITTAL,8,13,Luxembourg,ARCELORMITTAL,False
AREVA,8,16,France,AREVA,False
ASSOCIATED FINISHING,8,17,United States Of America,ASSOCIATED FINISHING,False
BONFIGLIOLI,8,12,Italy,BONFIGLIOLI,False
BRENNTAG,8,13,Germany,BRENNTAG,False
CUMMINS,8,12,United States Of America,CUMMINS,False
DAIKIN,8,13,Japan,DAIKIN,False
JOHNSON CONTROLS INC,8,19,United States Of America,JOHNSON CONTROLS,True
JOUSSEAU,8,9,France,JOUSSEAU,False
MAKINO,8,19,United States Of America,MAKINO,False
MANUFACTURINGLES,8,12,Canada,MANUFACTURINGLES,False
MECALUX,8,16,Spain,MECALUX,False
Metalcraft,8,12,United States Of America,METALCRAFT,False
NETZSCH,8,27,Germany,NETZSCH,False
ORONA,8,10,Australia,ORONA,False
REIFENHAUSER GROUP,8,13,Germany,REIFENHAUSER GROUP,False
SARL,8,11,France,SARL,False
SIGDO KOPPERS,8,15,Chile,SIGDO KOPPERS,False
TECSAW INTERNATIONAL,8,13,Canada,TECSAW INTERNATIONAL,False
TOYOTA,8,14,Japan,TOYOTA,False
ABBVIE,7,13,United States Of America,ABBVIE,False
AMENABAR,7,9,Spain,AMENABAR,False
ANVA GROUP,7,13,Spain,ANVA GROUP,False
CASH ACCOUNT,7,10,England,CASH ACCOUNT,False
CRANE PUMPS AND SYSTEMS,7,12,United States Of America,CRANE PUMPS AND SYSTEMS,False
DEAN FOODS,7,14,United States Of America,DEAN FOODS,False
ELLWOOD GROUP,7,10,United States Of America,ELLWOOD GROUP,False
EMAG,7,12,Germany,EMAG,False
FORGED SOLUTIONS GROUP,7,9,England,FORGED SOLUTIONS GROUP,False
GARDNER DENVER,7,10,United States Of America,GARDNER DENVER,False
GEHRING,7,13,Germany,GEHRING,False
GRUPO OTUA,7,10,Spain,GRUPO OTUA,False
HENKEL,7,12,Germany,HENKEL,False
Haas Automation,7,12,United States Of America,HAAS AUTOMATION,False
ISCAR,7,11,Israel,ISCAR,False
JINCHENGNUO GROUP,7,14,China,JINCHENGNUO GROUP,False
KANTO BUSSAN CO,7,14,Japan,KANTO BUSSAN,True
KYODO YUSHI,7,14,Japan,KYODO YUSHI,False
LEROY SOMER,7,8,France,LEROY SOMER,False
MESA PARTS GMBH,7,13,Germany,MESA PARTS,True
METALTECH,7,16,United States Of America,METALTECH,False
MUBEA,7,12,Germany,MUBEA,False
NATIONAL OILWELL,7,12,United States Of America,NATIONAL OILWELL,False
OSRAM GROUP,7,11,Germany,OSRAM GROUP,False
PRECISION CASTPARTS,7,16,United States Of America,PRECISION CASTPARTS,False
PT SOLUTIONS,7,17,United States Of America,PT SOLUTIONS,False
RHI MAGNESITA,7,9,Austria,RHI MAGNESITA,False
ROCKWELL,7,13,Mexico,ROCKWELL,False
ROLLER BEARING,7,11,United States Of America,ROLLER BEARING,False
ROTEK,7,15,United States Of America,ROTEK,False
SIRA GROUP,7,14,Italy,SIRA GROUP,False
SKF,7,15,Sweden,SKF,False
SPACESAVER,7,13,United States Of America,SPACESAVER,False
SRS DISTRIBUTION,7,11,United States Of America,SRS DISTRIBUTION,False
STRYKER,7,16,United States Of America,STRYKER,False
TAIZHOU MAICHANG,7,18,China,TAIZHOU MAICHANG,False
TOSHIBA,7,15,Japan,TOSHIBA,False
TRELLEBORG,7,10,Sweden,TRELLEBORG,False
UNION ELECTRIC AKERS,7,15,United States Of America,UNION ELECTRIC AKERS,False
VISAVAKIT PATANA,7,11,Thailand,VISAVAKIT PATANA,False
WESTCHEM TECHNOLOGIES,7,13,Canada,WESTCHEM TECHNOLOGIES,False
WURTH,7,14,Germany,WURTH,False
XYLEM,7,10,Spain,XYLEM,False
ZF,7,9,Germany,ZF,False
AEROSAFE PRODUCTS,6,20,United States Of America,AEROSAFE PRODUCTS,False
ALCON,6,17,Switzerland,ALCON,False
ARIEL CORPORATION,6,11,United States Of America,ARIEL,True
AYZAR,6,6,Turkey,AYZAR,False
BLOUNT,6,12,United States Of America,BLOUNT,False
BRADKEN,6,8,Australia,BRADKEN,False
BROEN,6,15,Poland,BROEN,False
CARDINAL SCALE MFG,6,8,United States Of America,CARDINAL SCALE MFG,False
CLASSIC COATINGS,6,10,United States Of America,CLASSIC COATINGS,False
COMEP,6,11,Italy,COMEP,False
CONDO,6,6,United States Of America,CONDO,False
CONSTELLIUM,6,16,France,CONSTELLIUM,False
COVENTYA,6,9,France,COVENTYA,False
Cameron International,6,12,United States Of America,CAMERON INTERNATIONAL,False
DEFI GROUP,6,8,France,DEFI GROUP,False
DEVILLE ASC,6,13,France,DEVILLE ASC,False
ELGIN FASTENERS GROUP,6,9,United States Of America,ELGIN FASTENERS GROUP,False
EVIOSYS,6,6,Spain,EVIOSYS,False
FLEXTRONICS,6,10,Singapore,FLEXTRONICS,False
FONTANA GROUP,6,22,Italy,FONTANA GROUP,False
GEORGIA MACHINE,6,11,United States Of America,GEORGIA MACHINE,False
GLEN MAY,6,6,Germany,GLEN MAY,False
Hill Rom Fabrication,6,11,United States Of America,HILL ROM FABRICATION,False
INDUCTOTHERM,6,9,Brazil,INDUCTOTHERM,False
KELVION,6,8,Germany,KELVION,False
LABEKOA INDUSTRIAL,6,10,Spain,LABEKOA INDUSTRIAL,False
MCCONWAY AND TORLEY,6,10,United States Of America,MCCONWAY AND TORLEY,False
METATHERM,6,7,Sweden,METATHERM,False
METSO,6,10,Brazil,METSO,False
NISSENS KØLERFABRIK,6,11,Denmark,NISSENS KØLERFABRIK,False
NOCO,6,12,Canada,NOCO,False
NORD CHROME,6,6,France,NORD CHROME,False
NORMA GROUP,6,11,Germany,NORMA GROUP,False
O M G,6,10,Italy,O M G,False
OUTOKUMPU,6,9,Finland,OUTOKUMPU,False
Oras Olenso,6,6,,ORAS OLENSO,False
PIONEER METAL FINISHING,6,12,United States Of America,PIONEER METAL FINISHING,False
PROCTER AND GAMBLE,6,12,United States Of America,PROCTER AND GAMBLE,False
PTI,6,12,Brazil,PTI,False
ROMI,6,14,Brazil,ROMI,False
RUBIX,6,8,England,RUBIX,False
Resonac,6,9,Japan,RESONAC,False
SACYR,6,6,Spain,SACYR,False
SISOURCE,6,12,Sweden,SISOURCE,False
SMS GROUP,6,9,Germany,SMS GROUP,False
SNA EUROPE,6,7,Netherlands,SNA EUROPE,False
SNAPON,6,18,United States Of America,SNAPON,False
SPACE EXPLORATION TECHNOLOGIES,6,9,United States Of America,SPACE EXPLORATION TECHNOLOGIES,False
STELLANTIS,6,9,Netherlands,STELLANTIS,False
TAYLOR MACHINE WORKS,6,13,United States Of America,TAYLOR MACHINE WORKS,False
TEREX,6,12,United States Of America,TEREX,False
TORMEP,6,12,Brazil,TORMEP,False
VICINAY,6,6,Spain,VICINAY,False
WHITE DRIVE MOTORS,6,8,United States Of America,WHITE DRIVE MOTORS,False
XPO LOGISTICS,6,9,Spain,XPO LOGISTICS,False
ZIMMER BIOMET,6,10,United States Of America,ZIMMER BIOMET,False
3B SUPPLY,5,9,United States Of America,3B SUPPLY,False
AAGE OSTERGAARD,5,11,Denmark,AAGE OSTERGAARD,False
ACCUTEC BLADES INC,5,11,United States Of America,ACCUTEC BLADES,True
ADEPT MANUFACTURING,5,9,United States Of America,ADEPT MANUFACTURING,False
ADM,5,8,United States Of America,ADM,False
AIRGAS,5,12,United States Of America,AIRGAS,False
AJAX TOCCO MAGNETHERMIC,5,11,United States Of America,AJAX TOCCO MAGNETHERMIC,False
ALFING KESSLER,5,8,Germany,ALFING KESSLER,False
ALUMASC,5,5,England,ALUMASC,False
ALUPRESS,5,16,Italy,ALUPRESS,False
AMERICAN AIRLINES,5,11,United States Of America,AMERICAN AIRLINES,False
ARC INTERNATIONAL,5,9,France,ARC INTERNATIONAL,False
ASSOCIATED SPRING,5,9,United States Of America,ASSOCIATED SPRING,False
AUTOBLOK,5,21,Germany,AUTOBLOK,False
BALD EAGLE PRECISION,5,8,United States Of America,BALD EAGLE PRECISION,False
BALLISTIC ADVANTAGE,5,9,United States Of America,BALLISTIC ADVANTAGE,False
BITZER KUEHLMASCHINEN,5,7,Germany,BITZER KUEHLMASCHINEN,False
BOCCARD,5,8,Poland,BOCCARD,False
BONDIOLI PAVESI,5,18,Italy,BONDIOLI PAVESI,False
BORGWARNER,5,8,United States Of America,BORGWARNER,False
BP,5,9,England,BP,False
BRAMMER,5,6,England,BRAMMER,False
BRUCKNER,5,10,Germany,BRUCKNER,False
BRUSS,5,11,Germany,BRUSS,False
BUCKEYE FIRE EQUIPMENT,5,10,United States Of America,BUCKEYE FIRE EQUIPMENT,False
CHARDON METAL PRODUCTS,5,9,United States Of America,CHARDON METAL PRODUCTS,False
CRH,5,5,Ireland,CRH,False
CRISTIAN LAY INDUSTRIAL,5,5,Spain,CRISTIAN LAY INDUSTRIAL,False
DCC ENERGI AS,5,10,Denmark,DCC ENERGI AS,False
DEAN BALDWIN PAINTING,5,7,United States Of America,DEAN BALDWIN PAINTING,False
DECO TOOL SUPPLY,5,8,United States Of America,DECO TOOL SUPPLY,False
DELTA AIR LINES,5,7,United States Of America,DELTA AIR LINES,False
DIXON VALVE AND COUPLING,5,10,United States Of America,DIXON VALVE AND COUPLING,False
DNOW,5,12,United States Of America,DNOW,False
DONCASTERS,5,14,England,DONCASTERS,False
DORMAKABA,5,8,Switzerland,DORMAKABA,False
DOVER,5,9,United States Of America,DOVER,False
DUPONT,5,10,United States Of America,DUPONT,False
DYNACAST,5,11,United States Of America,DYNACAST,False
DYNAMICS,5,12,Brazil,DYNAMICS,False
ECOL,5,10,Italy,ECOL,False
ELBE,5,7,Germany,ELBE,False
ENTRUST MANUFACTURING TECHNOLOGIES,5,13,United States Of America,ENTRUST MANUFACTURING TECHNOLOGIES,False
ERGON,5,9,United States Of America,ERGON,False
EXELON,5,10,United States Of America,EXELON,False
EXXON MOBIL,5,9,United States Of America,EXXON MOBIL,False
FEY,5,13,Brazil,FEY,False
FLSMIDTH,5,12,Denmark,FLSMIDTH,False
FOSHAN SUIRONG,5,10,China,FOSHAN SUIRONG,False
FRANKLIN ELECTRIC,5,8,United States Of America,FRANKLIN ELECTRIC,False
