Global Parent,Ship_To_Count,Row_Count,GP_Country,Normalized_GP,Normalization_Changed
ADVATEK,2,3,United States Of America,ADVATEK,False
ADVITIS MICRO DECOLLETAGE,2,2,India,ADVITIS MICRO DECOLLETAGE,False
AERO RACE WHEELS,2,3,United States Of America,AERO RACE WHEELS,False
AEROMEDICA ACCURATE,2,2,United States Of America,AEROMEDICA ACCURATE,False
AEROMETALS,2,3,United States Of America,AEROMETALS,False
AFA,2,6,United States Of America,AFA,False
AFATAC,2,4,United States Of America,AFATAC,False
AFC INDUSTRIES,2,10,United States Of America,AFC INDUSTRIES,False
AFM,2,4,United States Of America,AFM,False
AFMECH,2,4,United States Of America,AFMECH,False
AFT,2,2,United States Of America,AFT,False
AG Machining Inc,2,3,United States Of America,MACHINING,True
AGES,2,2,,AGES,False
AGF Defcom,2,4,France,AGF DEFCOM,False
AGGRESSIVE HYDRAULICS,2,3,United States Of America,AGGRESSIVE HYDRAULICS,False
AGROMETAL,2,3,Argentina,AGROMETAL,False
AH INDUSTRIES,2,6,Denmark,AH INDUSTRIES,False
AHLSELL,2,2,Sweden,AHLSELL,False
AIR DISTRIBUTION PRODUCTS,2,3,United States Of America,AIR DISTRIBUTION PRODUCTS,False
AIR TEMP,2,2,United States Of America,AIR TEMP,False
AIRAGA RUBINETTERIE,2,10,Italy,AIRAGA RUBINETTERIE,False
AISCAN,2,4,United States Of America,AISCAN,False
AISYS AUTOMOCAO,2,3,Brazil,AISYS AUTOMOCAO,False
AJAX TOOL WORKS,2,4,United States Of America,AJAX TOOL WORKS,False
AJT ENGINEERING,2,2,United States Of America,AJT ENGINEERING,False
AK INDUSTRIES,2,4,United States Of America,AK INDUSTRIES,False
AL LERCH,2,4,United States Of America,AL LERCH,False
ALABAMA CULLMAN YUTAKA TECH,2,8,United States Of America,ALABAMA CULLMAN YUTAKA TECH,False
ALAMO GROUP,2,3,United States Of America,ALAMO GROUP,False
ALBERTINI MACHINE SRL,2,4,Italy,ALBERTINI MACHINE,True
ALBERTO SASSI,2,3,Italy,ALBERTO SASSI,False
ALBERTS SURFACE TECHNOLOGIES,2,4,Netherlands,ALBERTS SURFACE TECHNOLOGIES,False
ALCAR,2,6,Switzerland,ALCAR,False
ALCATEL VACUUM TECHNOLOGY FRANCE,2,2,France,ALCATEL VACUUM TECHNOLOGY FRANCE,False
ALCO VALVES GROUP,2,4,United Kingdom,ALCO VALVES GROUP,False
ALENCO WINDOWS LTD,2,5,United States Of America,ALENCO WINDOWS,True
ALEXANDRIA INDUSTRIES,2,4,United States Of America,ALEXANDRIA INDUSTRIES,False
ALFA OSSIDAZIONE,2,8,Italy,ALFA OSSIDAZIONE,False
ALFAGOMMA HYDRAULIC,2,4,Italy,ALFAGOMMA HYDRAULIC,False
ALGI SRL,2,7,Italy,ALGI,True
ALINAR,2,4,Spain,ALINAR,False
ALL CLAD,2,3,United States Of America,ALL CLAD,False
ALL FAST FASTENING SYSTEM,2,4,United States Of America,ALL FAST FASTENING SYSTEM,False
ALL JETTING TECHNOLOGIES,2,7,United States Of America,ALL JETTING TECHNOLOGIES,False
ALLEGHENY COATINGS,2,3,United States Of America,ALLEGHENY COATINGS,False
ALLEGHENY PETROLEUM,2,3,United States Of America,ALLEGHENY PETROLEUM,False
ALLEGION PLC,2,3,Ireland,ALLEGION,True
ALLIANCE INDUSTRIES,2,4,United States Of America,ALLIANCE INDUSTRIES,False
ALLIANCE INDUSTRIES REMANUFACTURING,2,5,United States Of America,ALLIANCE INDUSTRIES REMANUFACTURING,False
ALLIETECH ENGINEERING,2,2,United States Of America,ALLIETECH ENGINEERING,False
ALLPRESS METALS,2,4,United States Of America,ALLPRESS METALS,False
ALLUMINIO SAMMARINESE,2,3,San Marino,ALLUMINIO SAMMARINESE,False
ALM 2,2,4,United States Of America,ALM 2,False
ALPENTECH,2,2,United States Of America,ALPENTECH,False
ALPHACASTINGS,2,3,Canada,ALPHACASTINGS,False
ALTEC ENGINEERING,2,4,Australia,ALTEC ENGINEERING,False
ALTECH,2,2,France,ALTECH,False
ALTEK,2,4,South Korea,ALTEK,False
ALUCAST APS,2,7,Denmark,ALUCAST APS,False
ALW INDUSTRY,2,4,United States Of America,ALW INDUSTRY,False
AMADA,2,4,Malaysia,AMADA,False
AMARA,2,2,Spain,AMARA,False
AMERICAN ALUMINUM ACCESSORIES,2,4,United States Of America,AMERICAN ALUMINUM ACCESSORIES,False
AMERICAN AXLE,2,3,United States Of America,AMERICAN AXLE,False
AMERICAN BARREL CO,2,3,United States Of America,AMERICAN BARREL,True
AMERICAN COOLAIR,2,4,United States Of America,AMERICAN COOLAIR,False
AMERICAN DRILL BUSHINGS,2,4,United States Of America,AMERICAN DRILL BUSHINGS,False
AMERICAN ENGINEERED PRODUCTS,2,6,United States Of America,AMERICAN ENGINEERED PRODUCTS,False
AMERICAN FRICTION WELDING,2,4,United States Of America,AMERICAN FRICTION WELDING,False
AMERICAN HEAT TREATING,2,4,United States Of America,AMERICAN HEAT TREATING,False
AMERICAN INTEGRATED MANUFACTURING,2,2,United States Of America,AMERICAN INTEGRATED MANUFACTURING,False
AMERICAN MICRO,2,4,United States Of America,AMERICAN MICRO,False
AMERICAN PRECISION DIE CAST,2,3,United States Of America,AMERICAN PRECISION DIE CAST,False
AMERICAN SECURITY PRODUCTS,2,4,United States Of America,AMERICAN SECURITY PRODUCTS,False
AMERICAN STEEL TREATING,2,4,United States Of America,AMERICAN STEEL TREATING,False
AMERICAN TOOL AND DIE,2,4,United States Of America,AMERICAN TOOL AND DIE,False
AMERICAN TOOLING CENTER,2,4,United States Of America,AMERICAN TOOLING CENTER,False
AMERICAN WELDQUIP,2,2,United States Of America,AMERICAN WELDQUIP,False
AMERJY TOOL AND MOULD,2,3,United States Of America,AMERJY TOOL AND MOULD,False
AMP,2,3,United States Of America,AMP,False
AMS WAREHOUSE LIMITED,2,4,United States Of America,AMS WAREHOUSE,True
AMTEK,2,4,India,AMTEK,False
AN S COOP,2,2,Spain,AN S COOP,False
ANADOLU CAM ESKISEHIR,2,4,Turkey,ANADOLU CAM ESKISEHIR,False
ANCHOR HOCKING,2,3,United States Of America,ANCHOR HOCKING,False
ANDERSON INTERNATIONAL CORPORATION,2,6,United States Of America,ANDERSON INTERNATIONAL,True
ANDPAK INCORPORATED,2,4,United States Of America,ANDPAK,True
ANDREASSA USINAGEM,2,4,Brazil,ANDREASSA USINAGEM,False
ANDRON STAINLESS,2,3,United States Of America,ANDRON STAINLESS,False
ANGSTROM,2,6,United States Of America,ANGSTROM,False
ANSELMI & C. SRL,2,5,,ANSELMI C,True
ANSELMI AND C SRL,2,4,Italy,ANSELMI AND C,True
ANTHONY SCREW PRODUCTS,2,4,United States Of America,ANTHONY SCREW PRODUCTS,False
ANTON HARING,2,5,Germany,ANTON HARING,False
ANVIL HOLDINGS,2,2,United States Of America,ANVIL HOLDINGS,False
ANVIL INTERNATIONAL,2,4,United States Of America,ANVIL INTERNATIONAL,False
AO PRECISION MANUFACTURING,2,4,United States Of America,AO PRECISION MANUFACTURING,False
AOC,2,3,United States Of America,AOC,False
APEX ANODIZING NEV,2,4,United States Of America,APEX ANODIZING NEV,False
API,2,6,United States Of America,API,False
APIS DELTA,2,3,Italy,APIS DELTA,False
APLEONA,2,4,Germany,APLEONA,False
APLICACIONES ELECTROMC VITORIA,2,4,Spain,APLICACIONES ELECTROMC VITORIA,False
APLICATOR,2,6,Sweden,APLICATOR,False
APRIM,2,4,Spain,APRIM,False
APT,2,4,United States Of America,APT,False
APX TECHNOLOGIE,2,3,France,APX TECHNOLOGIE,False
AQUA LUNG,2,6,United States Of America,AQUA LUNG,False
AR IRON,2,6,United States Of America,AR IRON,False
ARAUCO,2,3,Chile,ARAUCO,False
ARBURG,2,3,Germany,ARBURG,False
ARCHITA SRL,2,9,Italy,ARCHITA,True
ARD DECOLLETAGE,2,3,France,ARD DECOLLETAGE,False
AREMAC,2,4,United States Of America,AREMAC,False
ARENTORPS LEGOINDUSTRI,2,6,Sweden,ARENTORPS LEGOINDUSTRI,False
ARISTON,2,3,Italy,ARISTON,False
AROSIO,2,7,Italy,AROSIO,False
ARROW GEAR,2,4,United States Of America,ARROW GEAR,False
ARSER,2,3,France,ARSER,False
ARZUFFI,2,4,Italy,ARZUFFI,False
ASCENTEK INC,2,3,United States Of America,ASCENTEK,True
ASCENX TECHNOLOGIES,2,4,United States Of America,ASCENX TECHNOLOGIES,False
ASHAPURA,2,3,India,ASHAPURA,False
ASPOL INDUSTRIA E COMERCIO,2,4,Brazil,ASPOL INDUSTRIA E COMERCIO,False
ASSOCIATED REWINDS,2,5,Ireland,ASSOCIATED REWINDS,False
ASTUS,2,3,France,ASTUS,False
ATELIER DUSINAGE COTE AUDET,2,4,Canada,ATELIER DUSINAGE COTE AUDET,False
ATELIERS TOFER,2,2,France,ATELIERS TOFER,False
ATLANT,2,3,Belarus,ATLANT,False
ATLANTA PRECISION METAL FORMING,2,4,United States Of America,ATLANTA PRECISION METAL FORMING,False
ATLAS INDUSTRIES,2,4,Guernsey,ATLAS INDUSTRIES,False
ATTUNOR LTD,2,2,England,ATTUNOR,True
AUGUST BECK,2,4,Germany,AUGUST BECK,False
AURUBIS,2,3,Germany,AURUBIS,False
AUSA PROCESOS Y ESTUDIOS SA,2,4,Spain,AUSA PROCESOS Y ESTUDIOS,True
AUSTRALIAN STEEL,2,2,Australia,AUSTRALIAN STEEL,False
AUTEC INNOVATION,2,2,United States Of America,AUTEC INNOVATION,False
AUTO MAG LTD CORP,2,6,United States Of America,AUTO MAG,True
AUTODISTRIBUCIONES RUESCAS,2,2,Spain,AUTODISTRIBUCIONES RUESCAS,False
AUTOMATION TOOL AND DIE,2,3,United States Of America,AUTOMATION TOOL AND DIE,False
AVANTECH INCORPORATED,2,2,United States Of America,AVANTECH,True
AVIMATIC,2,10,Italy,AVIMATIC,False
AWG FITTINGS,2,3,Germany,AWG FITTINGS,False
AWP ENGINEERING,2,3,Italy,AWP ENGINEERING,False
AYRSHIRE METAL PRODUCTS,2,4,England,AYRSHIRE METAL PRODUCTS,False
Acme Stamping and Wire Forming,2,3,United States Of America,ACME STAMPING AND WIRE FORMING,False
Advanced Web Corporation,2,2,United States Of America,ADVANCED WEB,True
Alcon Tool Co,2,2,United States Of America,ALCON TOOL,True
Ammac Inc,2,4,United States Of America,AMMAC,True
Anderson Manufacturing,2,3,United States Of America,ANDERSON MANUFACTURING,False
Aviva Metals,2,2,United States Of America,AVIVA METALS,False
B F E,2,7,United States Of America,B F E,False
B R V,2,4,United States Of America,B R V,False
B VI R,2,8,United States Of America,B VI R,False
BA PRECISION PRODUCTS,2,5,United States Of America,BA PRECISION PRODUCTS,False
BABCOCK,2,2,England,BABCOCK,False
BADGER METER,2,3,United States Of America,BADGER METER,False
BADGER METER INC,2,4,United States Of America,BADGER METER,True
BALL,2,6,United States Of America,BALL,False
BALMA CAPODURI,2,8,Italy,BALMA CAPODURI,False
BALTIMORE AIRCOIL,2,2,United States Of America,BALTIMORE AIRCOIL,False
BALZER INC,2,4,United States Of America,BALZER,True
BANAN DISTRICT LISUO MACHINERY FACTORY,2,4,China,BANAN DISTRICT LISUO MACHINERY FACTORY,False
BANK BOTTOM ENG SERVICES,2,4,England,BANK BOTTOM ENG SERVICES,False
BAOJI QINHAI,2,4,China,BAOJI QINHAI,False
BAOTOU ANWOER,2,5,China,BAOTOU ANWOER,False
BARBOR,2,2,United States Of America,BARBOR,False
BARDI DI BARDI PIERO E MARIANO,2,5,Italy,BARDI DI BARDI PIERO E MARIANO,False
BARGY DECOLLETAGE,2,4,France,BARGY DECOLLETAGE,False
BARNEYS PUMPS,2,2,Australia,BARNEYS PUMPS,False
BARTOLI THE MECHANICS,2,8,Italy,BARTOLI THE MECHANICS,False
BARUFFALDI,2,2,Italy,BARUFFALDI,False
BATTELLE MEMORIAL INSTITUTE,2,3,United States Of America,BATTELLE MEMORIAL INSTITUTE,False
BATTISTINI,2,5,Italy,BATTISTINI,False
BAUER COMPRESSORS,2,6,United States Of America,BAUER COMPRESSORS,False
BAXMANN,2,3,Germany,BAXMANN,False
BAY CRYOGENICS,2,3,United States Of America,BAY CRYOGENICS,False
BBB INDUSTRIES,2,5,United States Of America,BBB INDUSTRIES,False
BC INSTRUMENTS,2,3,Canada,BC INSTRUMENTS,False
BC MACHINING,2,3,United States Of America,BC MACHINING,False
BCF INDUSTRIES,2,3,United States Of America,BCF INDUSTRIES,False
BCN TRASVASES,2,2,Spain,BCN TRASVASES,False
BEACONLES,2,2,United States Of America,BEACONLES,False
BEARING ENGINEERS,2,3,United States Of America,BEARING ENGINEERS,False
BECKMAN COULTER INC,2,4,United States Of America,BECKMAN COULTER,True
BEIJING RUIDA HONGYUAN,2,4,China,BEIJING RUIDA HONGYUAN,False
BEILER HYDRAULICS,2,4,United States Of America,BEILER HYDRAULICS,False
BEJO,2,4,Sweden,BEJO,False
BELENUS DO BRASIL,2,3,Brazil,BELENUS DO BRASIL,False
BELL BURIAL VAULT CO,2,3,United States Of America,BELL BURIAL VAULT,True
BELLA DONNA,2,3,Brazil,BELLA DONNA,False
BELLINI,2,4,Japan,BELLINI,False
BELLOFRAM SILICONES,2,3,United States Of America,BELLOFRAM SILICONES,False
BELLURGAN PRECISION TURNED,2,5,Ireland,BELLURGAN PRECISION TURNED,False
BELMAG INC,2,4,Canada,BELMAG,True
BENCH PRO INC,2,4,United States Of America,BENCH PRO,True
BENINCASA MECCANICA,2,6,Italy,BENINCASA MECCANICA,False
BENTELER,2,2,Germany,BENTELER,False
BERGONZI MECCANICA,2,7,Italy,BERGONZI MECCANICA,False
BERGS TIMBER,2,4,Sweden,BERGS TIMBER,False
BERKOA,2,2,Spain,BERKOA,False
BERTHIEZ DORRIES SCHARMAN,2,3,France,BERTHIEZ DORRIES SCHARMAN,False
BERTOLI ANTONIO,2,9,Italy,BERTOLI ANTONIO,False
BERTOT SILVIO,2,2,Italy,BERTOT SILVIO,False
BESACIER,2,2,France,BESACIER,False
BEST DISTRIBUTING,2,4,United States Of America,BEST DISTRIBUTING,False
BETA,2,3,Italy,BETA,False
BETHLEHEM GEAR AND MACHINE COMPANY,2,4,United States Of America,BETHLEHEM GEAR AND MACHINE,True
BETICO,2,2,Spain,BETICO,False
BETTS INDUSTRIES,2,4,United States Of America,BETTS INDUSTRIES,False
BETTUCCHI,2,3,Italy,BETTUCCHI,False
BHARAT FRITZ WERNER,2,6,India,BHARAT FRITZ WERNER,False
BHS,2,6,Germany,BHS,False
BICSAN DERI BICAKLARI,2,5,Turkey,BICSAN DERI BICAKLARI,False
BIG,2,5,Spain,BIG,False
BIG POINT PRODUKTION,2,5,Sweden,BIG POINT PRODUKTION,False
BIGFER,2,3,Brazil,BIGFER,False
BIJUR LUBRICATION IRELAND,2,5,Ireland,BIJUR LUBRICATION IRELAND,False
BIKE NORTE,2,3,Brazil,BIKE NORTE,False
BILANAGRICOLA,2,3,Spain,BILANAGRICOLA,False
BILFINGER,2,5,Germany,BILFINGER,False
BIRMINGHAM FASTENER AND SUPPLY,2,3,United States Of America,BIRMINGHAM FASTENER AND SUPPLY,False
BISHOPP DAN,2,4,United States Of America,BISHOPP DAN,False
BJORNEBORG STEEL,2,2,Sweden,BJORNEBORG STEEL,False
BKS,2,3,Germany,BKS,False
BLACKHAWK INDUSTRIES,2,3,United States Of America,BLACKHAWK INDUSTRIES,False
BLANCHARD GRINDING SERVICE,2,3,United States Of America,BLANCHARD GRINDING SERVICE,False
BLUE EAGLE PRECISION,2,6,United States Of America,BLUE EAGLE PRECISION,False
BLUEACRE TECHNOLOGY,2,4,United States Of America,BLUEACRE TECHNOLOGY,False
BLUEMAH ENGINEERING,2,3,Thailand,BLUEMAH ENGINEERING,False
BLUEWATER THERMAL SOLUTIONS,2,4,Canada,BLUEWATER THERMAL SOLUTIONS,False
BLUM,2,4,Germany,BLUM,False
BMG OF KANSAS,2,3,United States Of America,BMG OF KANSAS,False
BOBCAT COMPANY,2,3,United States Of America,BOBCAT,True
BODUM,2,2,Switzerland,BODUM,False
BOLES TOOL,2,4,United States Of America,BOLES TOOL,False
BOLL AND KIRCH,2,3,Germany,BOLL AND KIRCH,False
BOLLHOFF,2,4,Germany,BOLLHOFF,False
BOMAFA,2,4,Germany,BOMAFA,False
BONDTECH,2,6,Sweden,BONDTECH,False
BONIONI,2,5,France,BONIONI,False
BONTAZ CENTRE,2,2,France,BONTAZ CENTRE,False
BORDER STATES,2,4,United States Of America,BORDER STATES,False
BORGNA VETRI,2,9,Italy,BORGNA VETRI,False
BORKE MOLD SPECIALISTS,2,3,Canada,BORKE MOLD SPECIALISTS,False
BOSIO,2,7,Italy,BOSIO,False
BOSS PRECISION,2,3,United States Of America,BOSS PRECISION,False
BOWDIL,2,4,United States Of America,BOWDIL,False
BOYCE PRECISION ENGINEERING,2,6,Northern Ireland,BOYCE PRECISION ENGINEERING,False
BOYD ENGINEERING,2,6,Ireland,BOYD ENGINEERING,False
BPM,2,3,United States Of America,BPM,False
BR WELDING SUPPLY,2,5,United States Of America,BR WELDING SUPPLY,False
BRABANTIA S AND L BELGIUM,2,4,Belgium,BRABANTIA S AND L BELGIUM,False
BRACKETT MACHINE,2,4,United States Of America,BRACKETT MACHINE,False
BRASSCRAFT MANUFACTURING,2,4,United States Of America,BRASSCRAFT MANUFACTURING,False
BRDR MADSENS,2,6,Denmark,BRDR MADSENS,False
BREGA,2,8,Italy,BREGA,False
BRILLFOND SRL,2,5,Italy,BRILLFOND,True
BRONZES DE FRANCE,2,2,France,BRONZES DE FRANCE,False
BROOK TOOL AND DIE,2,4,United States Of America,BROOK TOOL AND DIE,False
BROOKS UTILITY PRODUCTS,2,4,United States Of America,BROOKS UTILITY PRODUCTS,False
BROWNELLS,2,6,United States Of America,BROWNELLS,False
BRUCK AM,2,4,Germany,BRUCK AM,False
BRUME,2,3,Italy,BRUME,False
BRUNITURA DI GIORGI GIULIANO,2,5,Italy,BRUNITURA DI GIORGI GIULIANO,False
BRYANT MACHINE SHOP,2,3,United States Of America,BRYANT MACHINE SHOP,False
BSI,2,5,Denmark,BSI,False
BTE INC,2,4,United States Of America,BTE,True
BTT,2,4,Italy,BTT,False
BUCCI,2,9,Italy,BUCCI,False
BUFAB LANN,2,4,Sweden,BUFAB LANN,False
BUFFALO ARMS COMPANY,2,4,United States Of America,BUFFALO ARMS,True
BUGLI,2,8,Italy,BUGLI,False
BUJNO POTTERY,2,3,United States Of America,BUJNO POTTERY,False
BULK CHEMICALS,2,4,United States Of America,BULK CHEMICALS,False
BURKET CONTROMATIC,2,4,United States Of America,BURKET CONTROMATIC,False
BURNER SYSTEMS INTERNATIONAL,2,7,United States Of America,BURNER SYSTEMS INTERNATIONAL,False
BURNSIDE HYDRACYL,2,3,Ireland,BURNSIDE HYDRACYL,False
BURSERYDS,2,4,Sweden,BURSERYDS,False
BURTON INDUSTRIES,2,3,United States Of America,BURTON INDUSTRIES,False
BW INDUSTRIE,2,3,France,BW INDUSTRIE,False
BWISE MANUFACTURING,2,4,United States Of America,BWISE MANUFACTURING,False
BYSTRONIC IBERICA SA,2,4,Spain,BYSTRONIC IBERICA,True
Barry Fuhrman,2,3,United States Of America,BARRY FUHRMAN,False
Bearon Corporation,2,3,United States Of America,BEARON,True
Brunswick Boat Group,2,3,United States Of America,BRUNSWICK BOAT GROUP,False
Bula Forge and Machine,2,2,United States Of America,BULA FORGE AND MACHINE,False
Burkert Contromatic Corp,2,3,United States Of America,BURKERT CONTROMATIC,True
C AND K JOHANSEN,2,4,Denmark,C AND K JOHANSEN,False
C AND R MANUFACTURING,2,3,United States Of America,C AND R MANUFACTURING,False
C B M,2,3,Italy,C B M,False
C E B,2,4,France,C E B,False
C E C,2,7,Italy,C E C,False
C F T S A S,2,6,Italy,C F T S A S,False
C G D,2,3,Italy,C G D,False
C HANSEN,2,2,Sweden,C HANSEN,False
C K ENGINEERING,2,5,Northern Ireland,C K ENGINEERING,False
C T B TRATTAMENTI TERMICI,2,3,Italy,C T B TRATTAMENTI TERMICI,False
CA BO MEC,2,5,Italy,CA BO MEC,False
CADAGUA,2,4,Spain,CADAGUA,False
CADENCE PETROLEUM GROUP,2,2,United States Of America,CADENCE PETROLEUM GROUP,False
CADILLAC CASTING,2,2,United States Of America,CADILLAC CASTING,False
CAF,2,4,Spain,CAF,False
CALIBRADOS PRADERA,2,3,Spain,CALIBRADOS PRADERA,False
CALIBRATED PRECISION MACHINE,2,3,Canada,CALIBRATED PRECISION MACHINE,False
CAMAR,2,6,Italy,CAMAR,False
CAMBUS MEDICAL,2,6,Ireland,CAMBUS MEDICAL,False
CAMMEK,2,6,Sweden,CAMMEK,False
CAMPANA P C,2,3,United States Of America,CAMPANA P C,False
CAMPBELL GRINDER,2,5,United States Of America,CAMPBELL GRINDER,False
CANADATUM MOULDS,2,4,Canada,CANADATUM MOULDS,False
CANADIAN AUTOMATION AND TOOL INTERNATIONAL,2,3,Canada,CANADIAN AUTOMATION AND TOOL INTERNATIONAL,False
CANADIAN IPG,2,4,Canada,CANADIAN IPG,False
CANAVERA AND AUDI,2,3,Japan,CANAVERA AND AUDI,False
CAPCO,2,6,United States Of America,CAPCO,False
CAPELLINI,2,8,Italy,CAPELLINI,False
CAPIN VYBORNY,2,7,United States Of America,CAPIN VYBORNY,False
CARBORUNDUM UNIVERSAL,2,4,India,CARBORUNDUM UNIVERSAL,False
CARGILL,2,4,United States Of America,CARGILL,False
CARGILL HEAT TREAT,2,3,United States Of America,CARGILL HEAT TREAT,False
CARGO OIL,2,4,Sweden,CARGO OIL,False
CARL BERGHOFER,2,4,Germany,CARL BERGHOFER,False
CARLO VISCONTI,2,9,Italy,CARLO VISCONTI,False
CARMA INDUSTRIAL COATINGS,2,4,United States Of America,CARMA INDUSTRIAL COATINGS,False
CARMOCAL,2,2,Brazil,CARMOCAL,False
CARNEGIE MELLON,2,4,United States Of America,CARNEGIE MELLON,False
CARRARA,2,5,Italy,CARRARA,False
CARROLL CONCRETE,2,3,United States Of America,CARROLL CONCRETE,False
CARROLLS SUSPENSION SOLUTIONS,2,2,Australia,CARROLLS SUSPENSION SOLUTIONS,False
CASCADE,2,3,United States Of America,CASCADE,False
CASCADE DESIGNS,2,3,United States Of America,CASCADE DESIGNS,False
CASE MEDICAL,2,2,United States Of America,CASE MEDICAL,False
CASPRINI GRUPPO INDUSTRIALE,2,7,Italy,CASPRINI GRUPPO INDUSTRIALE,False
CASSETTO,2,5,Italy,CASSETTO,False
CAVALLO PIETRO,2,5,Italy,CAVALLO PIETRO,False
CAZENEUVE,2,2,France,CAZENEUVE,False
CBS INDUSTRIAL TOOLING,2,3,United States Of America,CBS INDUSTRIAL TOOLING,False
CCI,2,2,Italy,CCI,False
CCJ ENGINEERING,2,3,United States Of America,CCJ ENGINEERING,False
CECO MACHINE AND TOOL,2,3,United States Of America,CECO MACHINE AND TOOL,False
CEDARVILLE UNIVERSITY,2,2,United States Of America,CEDARVILLE UNIVERSITY,False
CEGASA,2,2,Spain,CEGASA,False
CENTER MACHINE AND TOOL,2,4,Canada,CENTER MACHINE AND TOOL,False
CENTRAL TOOL ROOM AND TRAINING CENTRE MWI,2,3,,CENTRAL TOOL ROOM AND TRAINING CENTRE MWI,False
CENTRAL WELDING and IRON WORKS,2,4,Canada,CENTRAL WELDING AND IRON WORKS,False
CENTURY STEP PRECISION MOLDS,2,4,United States Of America,CENTURY STEP PRECISION MOLDS,False
CERANTOLA,2,8,Italy,CERANTOLA,False
CEROPA,2,4,Denmark,CEROPA,False
CESAR,2,10,Italy,CESAR,False
CEVA LOGISTICS,2,2,United States Of America,CEVA LOGISTICS,False
CEVITAL,2,3,Spain,CEVITAL,False
CGL MANUFACTURING,2,4,Canada,CGL MANUFACTURING,False
CHAINERIES LIMOUSINES,2,2,France,CHAINERIES LIMOUSINES,False
CHAMBERLAIN,2,3,United States Of America,CHAMBERLAIN,False
CHANGSHA DAYS AND DRILLING MACHINERY,2,4,China,CHANGSHA DAYS AND DRILLING MACHINERY,False
CHANGSHU STANDARD FACTORY,2,4,China,CHANGSHU STANDARD FACTORY,False
CHANGZHOU DADE,2,4,China,CHANGZHOU DADE,False
CHANGZHOU DONGTENG,2,3,China,CHANGZHOU DONGTENG,False
CHANGZHOU WEIWEN,2,5,China,CHANGZHOU WEIWEN,False
CHANGZHOU YUNKE,2,6,China,CHANGZHOU YUNKE,False
CHANGZHOU YUNKE HEAT TREATMENT,2,4,China,CHANGZHOU YUNKE HEAT TREATMENT,False
CHANNEL COMP,2,5,United States Of America,CHANNEL COMP,False
CHARLES BOND,2,6,United States Of America,CHARLES BOND,False
CHARLES MACHINE,2,4,United States Of America,CHARLES MACHINE,False
CHART,2,4,United States Of America,CHART,False
CHAS SVEC,2,2,United States Of America,CHAS SVEC,False
CHAUTAUQUA PRECISION MACHINE,2,3,United States Of America,CHAUTAUQUA PRECISION MACHINE,False
CHEMDEALS INC,2,5,United States Of America,CHEMDEALS,True
CHEMETALL,2,4,Germany,CHEMETALL,False
CHEMPLATE INDUSTRIES,2,6,United States Of America,CHEMPLATE INDUSTRIES,False
CHEMTOOL,2,4,United States Of America,CHEMTOOL,False
CHIAVETTE UNIFICATE,2,3,Italy,CHIAVETTE UNIFICATE,False
CHICAGO RIVET AND MACHINE,2,3,United States Of America,CHICAGO RIVET AND MACHINE,False
CHICAGO WHITE METAL,2,3,United States Of America,CHICAGO WHITE METAL,False
CHIMET,2,9,Italy,CHIMET,False
CHIRO,2,6,,CHIRO,False
CHIRTON ENGINEERING,2,3,United Kingdom,CHIRTON ENGINEERING,False
CHONGQING JIANGRUN,2,4,China,CHONGQING JIANGRUN,False
CHONGQING ZHIYING,2,3,China,CHONGQING ZHIYING,False
CHRISTENSEN ARMS,2,4,United States Of America,CHRISTENSEN ARMS,False
CIA NACIONAL DE CILINDROS,2,2,Brazil,CIA NACIONAL DE CILINDROS,False
CIAP COSTRUZIONE ITALIANA,2,3,Italy,CIAP COSTRUZIONE ITALIANA,False
CICSA,2,8,Italy,CICSA,False
CIE AUTOMOTIVE,2,3,Spain,CIE AUTOMOTIVE,False
CIM,2,3,South Korea,CIM,False
CIMENTACIONES ABANDO,2,2,Spain,CIMENTACIONES ABANDO,False
CINEL OFFICINE MECCANICHE,2,3,Italy,CINEL OFFICINE MECCANICHE,False
CINETIC GIUSTINA,2,5,Italy,CINETIC GIUSTINA,False
CINNATI GEARING SYSTEMS,2,4,United States Of America,CINNATI GEARING SYSTEMS,False
CISLA,2,2,Spain,CISLA,False
CLABORN MANUFACTURING,2,3,United States Of America,CLABORN MANUFACTURING,False
CLASSIC TOOL AND DIE,2,4,United States Of America,CLASSIC TOOL AND DIE,False
CLEAVER BROOKS,2,4,United States Of America,CLEAVER BROOKS,False
CLECIM SAS,2,6,France,CLECIM,True
CLERC DAVID,2,2,France,CLERC DAVID,False
CLEVELAND TOOL AND DESIGN,2,3,United States Of America,CLEVELAND TOOL AND DESIGN,False
CLIVET,2,8,Italy,CLIVET,False
CM TANNERY MACHINES SPA,2,9,Italy,CM TANNERY MACHINES,True
CMJ PRECISION MACHINING,2,4,Canada,CMJ PRECISION MACHINING,False
CMP PRODUCTS,2,4,England,CMP PRODUCTS,False
CNB USINAGE,2,2,France,CNB USINAGE,False
CNC,2,2,Spain,CNC,False
CNC MACHINE SOLUTIONS,2,5,United States Of America,CNC MACHINE SOLUTIONS,False
CNC PRODUCTS,2,5,United States Of America,CNC PRODUCTS,False
CNC Precision,2,3,United States Of America,CNC PRECISION,False
CNC SPEC,2,3,Canada,CNC SPEC,False
CNCS,2,3,Brazil,CNCS,False
COBHAM MISSION SYSTEMS,2,4,United States Of America,COBHAM MISSION SYSTEMS,False
CODAM,2,2,France,CODAM,False
